Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+09988E-03,+28774E-03
+00020E+06,+09440E-03,+30202E-03
+00030E+06,+24408E-03,+14551E-03
+00040E+06,+39160E-03,+02199E-03
+00050E+06,+39337E-03,+01828E-03
+00060E+06,+39376E-03,+01645E-03
+00070E+06,+39302E-03,+01623E-03
+00080E+06,+39158E-03,+01557E-03
+00090E+06,+39072E-03,+01556E-03
+00100E+06,+39128E-03,+01544E-03
+00110E+06,+39279E-03,+01558E-03
+00120E+06,+39384E-03,+01537E-03
+00130E+06,+39551E-03,+01432E-03
+00140E+06,+39519E-03,+01491E-03
+00150E+06,+39291E-03,+01504E-03
+00160E+06,+39093E-03,+01613E-03
+00170E+06,+39086E-03,+01657E-03
+00180E+06,+39161E-03,+01683E-03
+00190E+06,+39288E-03,+01731E-03
+00200E+06,+39341E-03,+01826E-03
+00210E+06,+39245E-03,+01805E-03
+00220E+06,+39121E-03,+01803E-03
+00230E+06,+39043E-03,+01837E-03
+00240E+06,+39058E-03,+01842E-03
+00250E+06,+39100E-03,+01910E-03
+00260E+06,+39179E-03,+01925E-03
+00270E+06,+39149E-03,+01943E-03
+00280E+06,+39066E-03,+01994E-03
+00290E+06,+39076E-03,+02083E-03
+00300E+06,+39009E-03,+02184E-03
+00310E+06,+39043E-03,+02215E-03
+00320E+06,+39055E-03,+02292E-03
+00330E+06,+38974E-03,+02306E-03
+00340E+06,+38813E-03,+02360E-03
+00350E+06,+38707E-03,+02403E-03
+00360E+06,+38771E-03,+02461E-03
+00370E+06,+38772E-03,+02612E-03
+00380E+06,+38749E-03,+02714E-03
+00390E+06,+38672E-03,+02863E-03
+00400E+06,+38457E-03,+02989E-03
+00410E+06,+38149E-03,+03159E-03
+00420E+06,+37746E-03,+03369E-03
+00430E+06,+37522E-03,+03539E-03
+00440E+06,+37238E-03,+03775E-03
+00450E+06,+36707E-03,+04144E-03
+00460E+06,+36079E-03,+04531E-03
+00470E+06,+35565E-03,+05034E-03
+00480E+06,+34972E-03,+05989E-03
+00490E+06,+34068E-03,+07193E-03
+00500E+06,+32406E-03,+08883E-03
+00510E+06,+29521E-03,+11353E-03
+00520E+06,+25501E-03,+14654E-03
+00530E+06,+21067E-03,+18227E-03
+00540E+06,+16424E-03,+22323E-03
+00550E+06,+12833E-03,+25610E-03
+00560E+06,+10036E-03,+28169E-03
+00570E+06,+09302E-03,+28627E-03
+00580E+06,+09714E-03,+28086E-03
+00590E+06,+08761E-03,+29322E-03
+00600E+06,+09316E-03,+29068E-03
+00610E+06,+08609E-03,+29794E-03
+00620E+06,+08204E-03,+30071E-03
+00630E+06,+08916E-03,+29375E-03
+00640E+06,+06995E-03,+31661E-03
+00650E+06,+90000E+06,+90099E+06
+00660E+06,+07593E-03,+31337E-03
+00670E+06,+08430E-03,+30187E-03
+00680E+06,+06578E-03,+31856E-03
+00690E+06,+07057E-03,+31475E-03
+00700E+06,+07027E-03,+31645E-03
+00710E+06,+06680E-03,+31719E-03
+00720E+06,+06653E-03,+31184E-03
+00730E+06,+07878E-03,+29589E-03
+00740E+06,+08378E-03,+28999E-03
