Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+90000E+06,+90099E+06
+00020E+06,+13511E-03,+26335E-03
+00030E+06,+38338E-03,+02279E-03
+00040E+06,+38439E-03,+01734E-03
+00050E+06,+37701E-03,+01749E-03
+00060E+06,+37233E-03,+01869E-03
+00070E+06,+36340E-03,+02196E-03
+00080E+06,+33098E-03,+05518E-03
+00090E+06,+90000E+06,+90099E+06
+00100E+06,+05430E-03,+30675E-03
+00110E+06,+05763E-03,+31367E-03
+00120E+06,+28432E-03,+08755E-03
+00130E+06,+34895E-03,+03533E-03
+00140E+06,+36664E-03,+02426E-03
+00150E+06,+36680E-03,+02155E-03
+00160E+06,+36542E-03,+02040E-03
+00170E+06,+36549E-03,+02028E-03
+00180E+06,+36732E-03,+02036E-03
+00190E+06,+37025E-03,+02051E-03
+00200E+06,+37250E-03,+02158E-03
+00210E+06,+37297E-03,+02122E-03
+00220E+06,+37110E-03,+02123E-03
+00230E+06,+37040E-03,+02105E-03
+00240E+06,+37412E-03,+02147E-03
+00250E+06,+38155E-03,+02147E-03
+00260E+06,+36931E-03,+02176E-03
+00270E+06,+36882E-03,+02255E-03
+00280E+06,+36839E-03,+02281E-03
+00290E+06,+36875E-03,+02391E-03
+00300E+06,+37004E-03,+02341E-03
+00310E+06,+37187E-03,+02426E-03
+00320E+06,+37212E-03,+02491E-03
+00330E+06,+37084E-03,+02498E-03
+00340E+06,+36924E-03,+02577E-03
+00350E+06,+36834E-03,+02612E-03
+00360E+06,+36784E-03,+02714E-03
+00370E+06,+36702E-03,+02775E-03
+00380E+06,+36615E-03,+02955E-03
+00390E+06,+36488E-03,+02996E-03
+00400E+06,+36269E-03,+03188E-03
+00410E+06,+36181E-03,+03278E-03
+00420E+06,+35954E-03,+03424E-03
+00430E+06,+35686E-03,+03621E-03
+00440E+06,+35270E-03,+03860E-03
+00450E+06,+34972E-03,+04145E-03
+00460E+06,+34692E-03,+04474E-03
+00470E+06,+34285E-03,+04932E-03
+00480E+06,+33652E-03,+05535E-03
+00490E+06,+32813E-03,+06312E-03
+00500E+06,+31707E-03,+07395E-03
+00510E+06,+30043E-03,+09179E-03
+00520E+06,+27114E-03,+11850E-03
+00530E+06,+23254E-03,+15390E-03
+00540E+06,+18705E-03,+19782E-03
+00550E+06,+13390E-03,+24899E-03
+00560E+06,+08382E-03,+29527E-03
+00570E+06,+90000E+06,+90099E+06
+00580E+06,+90000E+06,+90099E+06
+00590E+06,+90000E+06,+90099E+06
+00600E+06,+90000E+06,+90099E+06
+00610E+06,+90000E+06,+90099E+06
+00620E+06,+05791E-03,+30493E-03
+00630E+06,+06379E-03,+29803E-03
+00640E+06,+04954E-03,+31373E-03
+00650E+06,+90000E+06,+90099E+06
+00660E+06,+04879E-03,+31298E-03
+00670E+06,+90000E+06,+90099E+06
+00680E+06,+05011E-03,+31177E-03
+00690E+06,+05062E-03,+31431E-03
+00700E+06,+90000E+06,+90099E+06
+00710E+06,+90000E+06,+90099E+06
+00720E+06,+05537E-03,+30914E-03
+00730E+06,+90000E+06,+90099E+06
+00740E+06,+90000E+06,+90099E+06
+00750E+06,+90000E+06,+90099E+06
+00760E+06,+05297E-03,+31882E-03
+00770E+06,+90000E+06,+90099E+06
+00780E+06,+90000E+06,+90099E+06
+00790E+06,+90000E+06,+90099E+06
+00800E+06,+90000E+06,+90099E+06
+00810E+06,+90000E+06,+90099E+06
+00820E+06,+90000E+06,+90099E+06
+00830E+06,+90000E+06,+90099E+06
+00840E+06,+90000E+06,+90099E+06
+00850E+06,+90000E+06,+90099E+06
+00860E+06,+90000E+06,+90099E+06
+00870E+06,+90000E+06,+90099E+06
+00880E+06,+90000E+06,+90099E+06
+00890E+06,+90000E+06,+90099E+06
