Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+09354E-03,+29672E-03
+00020E+06,+09388E-03,+30260E-03
+00030E+06,+22552E-03,+16196E-03
+00040E+06,+39187E-03,+02211E-03
+00050E+06,+39450E-03,+01759E-03
+00060E+06,+39408E-03,+01615E-03
+00070E+06,+39321E-03,+01548E-03
+00080E+06,+39148E-03,+01530E-03
+00090E+06,+39052E-03,+01503E-03
+00100E+06,+39147E-03,+01478E-03
+00110E+06,+39333E-03,+01492E-03
+00120E+06,+39469E-03,+01436E-03
+00130E+06,+39577E-03,+01422E-03
+00140E+06,+39606E-03,+01380E-03
+00150E+06,+39319E-03,+01468E-03
+00160E+06,+39147E-03,+01530E-03
+00170E+06,+39126E-03,+01555E-03
+00180E+06,+39153E-03,+01714E-03
+00190E+06,+39349E-03,+01675E-03
+00200E+06,+39389E-03,+01719E-03
+00210E+06,+39298E-03,+01734E-03
+00220E+06,+39196E-03,+01732E-03
+00230E+06,+39094E-03,+01777E-03
+00240E+06,+39155E-03,+01817E-03
+00250E+06,+39276E-03,+01819E-03
+00260E+06,+39354E-03,+01832E-03
+00270E+06,+39242E-03,+01848E-03
+00280E+06,+39085E-03,+01982E-03
+00290E+06,+39071E-03,+02027E-03
+00300E+06,+39073E-03,+02081E-03
+00310E+06,+39088E-03,+02154E-03
+00320E+06,+39100E-03,+02177E-03
+00330E+06,+38937E-03,+02282E-03
+00340E+06,+38878E-03,+02278E-03
+00350E+06,+38822E-03,+02363E-03
+00360E+06,+38853E-03,+02405E-03
+00370E+06,+38849E-03,+02504E-03
+00380E+06,+38829E-03,+02583E-03
+00390E+06,+38751E-03,+02681E-03
+00400E+06,+38563E-03,+02817E-03
+00410E+06,+38264E-03,+03036E-03
+00420E+06,+38058E-03,+03139E-03
+00430E+06,+37871E-03,+03371E-03
+00440E+06,+37528E-03,+03611E-03
+00450E+06,+37033E-03,+03850E-03
+00460E+06,+36325E-03,+04256E-03
+00470E+06,+35700E-03,+04710E-03
+00480E+06,+35203E-03,+05515E-03
+00490E+06,+34528E-03,+06505E-03
+00500E+06,+33218E-03,+08046E-03
+00510E+06,+31067E-03,+10083E-03
+00520E+06,+27573E-03,+12931E-03
+00530E+06,+23227E-03,+16375E-03
+00540E+06,+18713E-03,+20243E-03
+00550E+06,+14448E-03,+24137E-03
+00560E+06,+10851E-03,+27429E-03
+00570E+06,+09512E-03,+28369E-03
+00580E+06,+08300E-03,+29360E-03
+00590E+06,+09094E-03,+28736E-03
+00600E+06,+08572E-03,+29598E-03
+00610E+06,+09290E-03,+28998E-03
+00620E+06,+08344E-03,+29790E-03
+00630E+06,+06798E-03,+31277E-03
+00640E+06,+08339E-03,+30005E-03
+00650E+06,+08048E-03,+30724E-03
+00660E+06,+07647E-03,+31139E-03
+00670E+06,+07784E-03,+30731E-03
+00680E+06,+07370E-03,+30982E-03
+00690E+06,+07977E-03,+30488E-03
+00700E+06,+90000E+06,+90099E+06
+00710E+06,+07241E-03,+31270E-03
+00720E+06,+07532E-03,+30441E-03
+00730E+06,+07906E-03,+29733E-03
+00740E+06,+07910E-03,+29568E-03
+00750E+06,+07204E-03,+30305E-03
+00760E+06,+07116E-03,+30294E-03
+00770E+06,+07249E-03,+29860E-03
+00780E+06,+06517E-03,+30199E-03
+00790E+06,+05243E-03,+31213E-03
+00800E+06,+06125E-03,+30166E-03
+00810E+06,+04832E-03,+31320E-03
+00820E+06,+05156E-03,+30741E-03
+00830E+06,+90000E+06,+90099E+06
+00840E+06,+90000E+06,+90099E+06
+00850E+06,+90000E+06,+90099E+06
+00860E+06,+90000E+06,+90099E+06
+00870E+06,+03363E-03,+31895E-03
+00880E+06,+90000E+06,+90099E+06
+00890E+06,+90000E+06,+90099E+06
+00900E+06,+90000E+06,+90099E+06
+00910E+06,+90000E+06,+90099E+06
+00920E+06,+90000E+06,+90099E+06
+00930E+06,+90000E+06,+90099E+06
+00940E+06,+90000E+06,+90099E+06
+00950E+06,+90000E+06,+90099E+06
+00960E+06,+90000E+06,+90099E+06
+00970E+06,+90000E+06,+90099E+06
+00980E+06,+90000E+06,+90099E+06
+00990E+06,+90000E+06,+90099E+06
+01000E+06,+90000E+06,+90099E+06
+01010E+06,+90000E+06,+90099E+06
+01020E+06,+90000E+06,+90099E+06
+01030E+06,+90000E+06,+90099E+06
+01040E+06,+90000E+06,+90099E+06
+01050E+06,+90000E+06,+90099E+06
+01060E+06,+90000E+06,+90099E+06
+01070E+06,+90000E+06,+90099E+06
+01080E+06,+90000E+06,+90099E+06
+01090E+06,+90000E+06,+90099E+06
+01100E+06,+90000E+06,+90099E+06
+01110E+06,+90000E+06,+90099E+06
+01120E+06,+90000E+06,+90099E+06
+01130E+06,+90000E+06,+90099E+06
+01140E+06,+90000E+06,+90099E+06
+01150E+06,+90000E+06,+90099E+06
+01160E+06,+90000E+06,+90099E+06
+01170E+06,+90000E+06,+90099E+06
+01180E+06,+90000E+06,+90099E+06
+01190E+06,+90000E+06,+90099E+06
+01200E+06,+90000E+06,+90099E+06
+01210E+06,+90000E+06,+90099E+06
+01220E+06,+90000E+06,+90099E+06
+01230E+06,+90000E+06,+90099E+06
+01240E+06,+90000E+06,+90099E+06
+01250E+06,+90000E+06,+90099E+06
+01260E+06,+90000E+06,+90099E+06
+01270E+06,+90000E+06,+90099E+06
+01280E+06,+90000E+06,+90099E+06
+01290E+06,+90000E+06,+90099E+06
+01300E+06,+90000E+06,+90099E+06
+01310E+06,+90000E+06,+90099E+06
+01320E+06,+90000E+06,+90099E+06
+01330E+06,+90000E+06,+90099E+06
+01340E+06,+90000E+06,+90099E+06
+01350E+06,+90000E+06,+90099E+06
+01360E+06,+90000E+06,+90099E+06
+01370E+06,+90000E+06,+90099E+06
+01380E+06,+90000E+06,+90099E+06
+01390E+06,+90000E+06,+90099E+06
+01400E+06,+90000E+06,+90099E+06
+01410E+06,+90000E+06,+90099E+06
+01420E+06,+90000E+06,+90099E+06
+01430E+06,+90000E+06,+90099E+06
+01440E+06,+90000E+06,+90099E+06
+01450E+06,+90000E+06,+90099E+06
+01460E+06,+90000E+06,+90099E+06
+01470E+06,+90000E+06,+90099E+06
+01480E+06,+90000E+06,+90099E+06
+01490E+06,+90000E+06,+90099E+06
+01500E+06,+90000E+06,+90099E+06
+01510E+06,+90000E+06,+90099E+06
+01520E+06,+90000E+06,+90099E+06
+01530E+06,+90000E+06,+90099E+06
+01540E+06,+90000E+06,+90099E+06
+01550E+06,+90000E+06,+90099E+06
+01560E+06,+90000E+06,+90099E+06
+01570E+06,+90000E+06,+90099E+06
+01580E+06,+90000E+06,+90099E+06
+01590E+06,+90000E+06,+90099E+06
