Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+90000E+06,+90099E+06
+00020E+06,+90000E+06,+90099E+06
+00030E+06,+90000E+06,+90099E+06
+00040E+06,+90000E+06,+90099E+06
+00050E+06,+90000E+06,+90099E+06
+00060E+06,+90000E+06,+90099E+06
+00070E+06,+90000E+06,+90099E+06
+00080E+06,+90000E+06,+90099E+06
+00090E+06,+90000E+06,+90099E+06
+00100E+06,+90000E+06,+90099E+06
+00110E+06,+90000E+06,+90099E+06
+00120E+06,+90000E+06,+90099E+06
+00130E+06,+90000E+06,+90099E+06
+00140E+06,+90000E+06,+90099E+06
+00150E+06,+90000E+06,+90099E+06
+00160E+06,+13402E-03,+29908E-03
+00170E+06,+17773E-03,+25258E-03
+00180E+06,+23809E-03,+19552E-03
+00190E+06,+29676E-03,+13899E-03
+00200E+06,+34749E-03,+08069E-03
+00210E+06,+37816E-03,+04537E-03
+00220E+06,+38816E-03,+03979E-03
+00230E+06,+38924E-03,+04130E-03
+00240E+06,+38731E-03,+04106E-03
+00250E+06,+38520E-03,+03977E-03
+00260E+06,+38836E-03,+03731E-03
+00270E+06,+39130E-03,+03716E-03
+00280E+06,+39107E-03,+03732E-03
+00290E+06,+39188E-03,+03801E-03
+00300E+06,+39355E-03,+03910E-03
+00310E+06,+39442E-03,+04031E-03
+00320E+06,+39271E-03,+04089E-03
+00330E+06,+39065E-03,+04141E-03
+00340E+06,+38935E-03,+04181E-03
+00350E+06,+38950E-03,+04125E-03
+00360E+06,+39124E-03,+04053E-03
+00370E+06,+39244E-03,+03982E-03
+00380E+06,+39149E-03,+03909E-03
+00390E+06,+38997E-03,+03805E-03
+00400E+06,+38729E-03,+03818E-03
+00410E+06,+38565E-03,+03719E-03
+00420E+06,+38630E-03,+03750E-03
+00430E+06,+38791E-03,+03670E-03
+00440E+06,+39105E-03,+03707E-03
+00450E+06,+39373E-03,+03798E-03
+00460E+06,+39200E-03,+03905E-03
+00470E+06,+38970E-03,+03953E-03
+00480E+06,+39096E-03,+04038E-03
+00490E+06,+39253E-03,+04134E-03
+00500E+06,+39095E-03,+04195E-03
+00510E+06,+38864E-03,+04255E-03
+00520E+06,+38815E-03,+04272E-03
+00530E+06,+38716E-03,+04296E-03
+00540E+06,+38758E-03,+04292E-03
+00550E+06,+38929E-03,+04260E-03
+00560E+06,+39028E-03,+04276E-03
+00570E+06,+39134E-03,+04220E-03
+00580E+06,+39084E-03,+04140E-03
+00590E+06,+38868E-03,+04091E-03
+00600E+06,+38768E-03,+04069E-03
+00610E+06,+38771E-03,+04101E-03
+00620E+06,+38736E-03,+04055E-03
+00630E+06,+38827E-03,+04020E-03
+00640E+06,+39061E-03,+04033E-03
+00650E+06,+39235E-03,+04066E-03
+00660E+06,+38989E-03,+04076E-03
+00670E+06,+38681E-03,+04072E-03
+00680E+06,+38493E-03,+04091E-03
+00690E+06,+38484E-03,+04074E-03
+00700E+06,+38797E-03,+04142E-03
+00710E+06,+39155E-03,+04133E-03
+00720E+06,+38964E-03,+04167E-03
+00730E+06,+38739E-03,+04161E-03
+00740E+06,+38790E-03,+04136E-03
+00750E+06,+38884E-03,+04208E-03
+00760E+06,+39097E-03,+04166E-03
+00770E+06,+39379E-03,+04216E-03
+00780E+06,+39205E-03,+04163E-03
+00790E+06,+38945E-03,+04189E-03
+00800E+06,+38986E-03,+04097E-03
+00810E+06,+38961E-03,+04157E-03
+00820E+06,+38887E-03,+04168E-03
+00830E+06,+38937E-03,+04161E-03
+00840E+06,+38948E-03,+04186E-03
+00850E+06,+38940E-03,+04188E-03
+00860E+06,+39181E-03,+04222E-03
+00870E+06,+39438E-03,+04268E-03
+00880E+06,+38932E-03,+04272E-03
+00890E+06,+38568E-03,+04291E-03
+00900E+06,+38912E-03,+04295E-03
+00910E+06,+39146E-03,+04339E-03
+00920E+06,+39131E-03,+04344E-03
+00930E+06,+38992E-03,+04313E-03
+00940E+06,+39153E-03,+04305E-03
+00950E+06,+39378E-03,+04308E-03
+00960E+06,+39325E-03,+04321E-03
+00970E+06,+39380E-03,+04257E-03
+00980E+06,+39451E-03,+04226E-03
+00990E+06,+39339E-03,+04233E-03
+01000E+06,+39059E-03,+04270E-03
+01010E+06,+38802E-03,+04223E-03
+01020E+06,+39190E-03,+04260E-03
+01030E+06,+39762E-03,+04250E-03
+01040E+06,+39746E-03,+04246E-03
+01050E+06,+39657E-03,+04311E-03
+01060E+06,+39302E-03,+04371E-03
+01070E+06,+38892E-03,+04372E-03
+01080E+06,+39174E-03,+04404E-03
+01090E+06,+39561E-03,+04403E-03
+01100E+06,+39250E-03,+04434E-03
+01110E+06,+38966E-03,+04451E-03
+01120E+06,+39068E-03,+04443E-03
+01130E+06,+39157E-03,+04410E-03
+01140E+06,+39267E-03,+04360E-03
+01150E+06,+39366E-03,+04396E-03
+01160E+06,+39485E-03,+04331E-03
+01170E+06,+39562E-03,+04292E-03
+01180E+06,+39282E-03,+04273E-03
+01190E+06,+39009E-03,+04298E-03
+01200E+06,+39014E-03,+04264E-03
+01210E+06,+38982E-03,+04285E-03
+01220E+06,+38920E-03,+04279E-03
+01230E+06,+38829E-03,+04264E-03
+01240E+06,+39122E-03,+04294E-03
+01250E+06,+39388E-03,+04372E-03
+01260E+06,+39138E-03,+04447E-03
+01270E+06,+38899E-03,+04482E-03
+01280E+06,+38955E-03,+04559E-03
+01290E+06,+39043E-03,+04585E-03
+01300E+06,+38938E-03,+04681E-03
+01310E+06,+38815E-03,+04700E-03
+01320E+06,+39014E-03,+04724E-03
+01330E+06,+39287E-03,+04716E-03
+01340E+06,+39192E-03,+04773E-03
+01350E+06,+39201E-03,+04795E-03
+01360E+06,+38962E-03,+04797E-03
+01370E+06,+38627E-03,+04830E-03
+01380E+06,+38339E-03,+04809E-03
+01390E+06,+37950E-03,+04779E-03
+01400E+06,+38004E-03,+04857E-03
+01410E+06,+38200E-03,+04865E-03
+01420E+06,+37606E-03,+04938E-03
+01430E+06,+37120E-03,+04922E-03
+01440E+06,+37359E-03,+04959E-03
+01450E+06,+37567E-03,+04964E-03
+01460E+06,+37360E-03,+05025E-03
+01470E+06,+37215E-03,+05030E-03
+01480E+06,+37474E-03,+05045E-03
+01490E+06,+37807E-03,+04971E-03
+01500E+06,+37471E-03,+05011E-03
+01510E+06,+37223E-03,+05033E-03
+01520E+06,+37244E-03,+04974E-03
+01530E+06,+37365E-03,+04893E-03
+01540E+06,+37333E-03,+04892E-03
+01550E+06,+37220E-03,+04897E-03
+01560E+06,+37017E-03,+04927E-03
+01570E+06,+36789E-03,+04891E-03
+01580E+06,+36403E-03,+04922E-03
+01590E+06,+36130E-03,+04916E-03
