Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+12256E-03,+25400E-03
+00020E+06,+12324E-03,+25873E-03
+00030E+06,+11577E-03,+27059E-03
+00040E+06,+11341E-03,+27488E-03
+00050E+06,+11428E-03,+27535E-03
+00060E+06,+11759E-03,+27688E-03
+00070E+06,+09758E-03,+30416E-03
+00080E+06,+09749E-03,+31056E-03
+00090E+06,+09652E-03,+31332E-03
+00100E+06,+90000E+06,+90099E+06
+00110E+06,+09749E-03,+31608E-03
+00120E+06,+90000E+06,+90099E+06
+00130E+06,+90000E+06,+90099E+06
+00140E+06,+90000E+06,+90099E+06
+00150E+06,+90000E+06,+90099E+06
+00160E+06,+13432E-03,+28978E-03
+00170E+06,+18667E-03,+23944E-03
+00180E+06,+24695E-03,+18463E-03
+00190E+06,+30482E-03,+12953E-03
+00200E+06,+35056E-03,+07519E-03
+00210E+06,+37537E-03,+04582E-03
+00220E+06,+38292E-03,+04101E-03
+00230E+06,+38309E-03,+04218E-03
+00240E+06,+38418E-03,+04300E-03
+00250E+06,+38597E-03,+04225E-03
+00260E+06,+38628E-03,+04154E-03
+00270E+06,+38531E-03,+04029E-03
+00280E+06,+38473E-03,+03949E-03
+00290E+06,+38514E-03,+03941E-03
+00300E+06,+38521E-03,+04037E-03
+00310E+06,+38685E-03,+04027E-03
+00320E+06,+38795E-03,+04019E-03
+00330E+06,+38707E-03,+04053E-03
+00340E+06,+38511E-03,+04081E-03
+00350E+06,+38375E-03,+04090E-03
+00360E+06,+38374E-03,+04088E-03
+00370E+06,+38563E-03,+04114E-03
+00380E+06,+38735E-03,+04093E-03
+00390E+06,+38807E-03,+04086E-03
+00400E+06,+38561E-03,+04125E-03
+00410E+06,+38315E-03,+04077E-03
+00420E+06,+38168E-03,+04121E-03
+00430E+06,+38360E-03,+04072E-03
+00440E+06,+38572E-03,+04105E-03
+00450E+06,+38786E-03,+04125E-03
+00460E+06,+38775E-03,+04150E-03
+00470E+06,+38553E-03,+04176E-03
+00480E+06,+38298E-03,+04181E-03
+00490E+06,+38178E-03,+04193E-03
+00500E+06,+38351E-03,+04200E-03
+00510E+06,+38536E-03,+04178E-03
+00520E+06,+38579E-03,+04175E-03
+00530E+06,+38407E-03,+04148E-03
+00540E+06,+38218E-03,+04156E-03
+00550E+06,+38117E-03,+04164E-03
+00560E+06,+38242E-03,+04134E-03
+00570E+06,+38496E-03,+04094E-03
+00580E+06,+38699E-03,+04092E-03
+00590E+06,+38695E-03,+04126E-03
+00600E+06,+38318E-03,+04166E-03
+00610E+06,+37990E-03,+04193E-03
+00620E+06,+37829E-03,+04244E-03
+00630E+06,+38003E-03,+04253E-03
+00640E+06,+38451E-03,+04327E-03
+00650E+06,+38723E-03,+04391E-03
+00660E+06,+38526E-03,+04492E-03
+00670E+06,+38151E-03,+04508E-03
+00680E+06,+37799E-03,+04598E-03
+00690E+06,+37806E-03,+04675E-03
+00700E+06,+38243E-03,+04685E-03
+00710E+06,+38659E-03,+04715E-03
+00720E+06,+38603E-03,+04741E-03
+00730E+06,+38324E-03,+04696E-03
+00740E+06,+37989E-03,+04676E-03
+00750E+06,+37881E-03,+04672E-03
+00760E+06,+38040E-03,+04612E-03
+00770E+06,+38223E-03,+04611E-03
+00780E+06,+38381E-03,+04504E-03
+00790E+06,+38311E-03,+04426E-03
+00800E+06,+38179E-03,+04408E-03
+00810E+06,+38081E-03,+04288E-03
+00820E+06,+38027E-03,+04274E-03
+00830E+06,+38082E-03,+04235E-03
+00840E+06,+38226E-03,+04186E-03
+00850E+06,+38300E-03,+04196E-03
+00860E+06,+38227E-03,+04236E-03
+00870E+06,+38056E-03,+04218E-03
+00880E+06,+37954E-03,+04170E-03
+00890E+06,+38017E-03,+04198E-03
+00900E+06,+38243E-03,+04282E-03
+00910E+06,+38511E-03,+04357E-03
+00920E+06,+38615E-03,+04401E-03
+00930E+06,+38448E-03,+04414E-03
+00940E+06,+38145E-03,+04415E-03
+00950E+06,+37995E-03,+04458E-03
+00960E+06,+38066E-03,+04487E-03
+00970E+06,+38319E-03,+04508E-03
+00980E+06,+38566E-03,+04535E-03
+00990E+06,+38635E-03,+04443E-03
+01000E+06,+38389E-03,+04455E-03
+01010E+06,+38190E-03,+04476E-03
+01020E+06,+38114E-03,+04419E-03
+01030E+06,+38215E-03,+04404E-03
+01040E+06,+38411E-03,+04363E-03
+01050E+06,+38525E-03,+04405E-03
+01060E+06,+38559E-03,+04370E-03
+01070E+06,+38408E-03,+04398E-03
+01080E+06,+38242E-03,+04429E-03
+01090E+06,+38185E-03,+04414E-03
+01100E+06,+38279E-03,+04479E-03
+01110E+06,+38470E-03,+04476E-03
+01120E+06,+38488E-03,+04555E-03
+01130E+06,+38485E-03,+04551E-03
+01140E+06,+38419E-03,+04601E-03
+01150E+06,+38431E-03,+04659E-03
+01160E+06,+38526E-03,+04744E-03
+01170E+06,+38733E-03,+04762E-03
+01180E+06,+38658E-03,+04830E-03
+01190E+06,+38521E-03,+04848E-03
+01200E+06,+38358E-03,+04910E-03
+01210E+06,+38363E-03,+04950E-03
+01220E+06,+38510E-03,+04994E-03
+01230E+06,+38725E-03,+05038E-03
+01240E+06,+38837E-03,+05062E-03
+01250E+06,+38678E-03,+05154E-03
+01260E+06,+38374E-03,+05229E-03
+01270E+06,+38195E-03,+05284E-03
+01280E+06,+38250E-03,+05253E-03
+01290E+06,+38196E-03,+05315E-03
+01300E+06,+38129E-03,+05326E-03
+01310E+06,+37911E-03,+05363E-03
+01320E+06,+37622E-03,+05406E-03
+01330E+06,+37577E-03,+05281E-03
+01340E+06,+37543E-03,+05284E-03
+01350E+06,+37547E-03,+05289E-03
+01360E+06,+37534E-03,+05218E-03
+01370E+06,+37380E-03,+05179E-03
+01380E+06,+37203E-03,+05101E-03
+01390E+06,+37092E-03,+05025E-03
+01400E+06,+37182E-03,+04932E-03
+01410E+06,+37258E-03,+04877E-03
+01420E+06,+37235E-03,+04823E-03
+01430E+06,+37170E-03,+04787E-03
