Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+90000E+06,+90099E+06
+00020E+06,+90000E+06,+90099E+06
+00030E+06,+90000E+06,+90099E+06
+00040E+06,+90000E+06,+90099E+06
+00050E+06,+90000E+06,+90099E+06
+00060E+06,+90000E+06,+90099E+06
+00070E+06,+90000E+06,+90099E+06
+00080E+06,+90000E+06,+90099E+06
+00090E+06,+90000E+06,+90099E+06
+00100E+06,+90000E+06,+90099E+06
+00110E+06,+90000E+06,+90099E+06
+00120E+06,+90000E+06,+90099E+06
+00130E+06,+90000E+06,+90099E+06
+00140E+06,+90000E+06,+90099E+06
+00150E+06,+90000E+06,+90099E+06
+00160E+06,+13863E-03,+31198E-03
+00170E+06,+21022E-03,+24313E-03
+00180E+06,+28066E-03,+18164E-03
+00190E+06,+36978E-03,+11626E-03
+00200E+06,+44785E-03,+05740E-03
+00210E+06,+43159E-03,+02705E-03
+00220E+06,+43110E-03,+02149E-03
+00230E+06,+42946E-03,+02390E-03
+00240E+06,+42307E-03,+02692E-03
+00250E+06,+41778E-03,+02843E-03
+00260E+06,+41345E-03,+02919E-03
+00270E+06,+41190E-03,+02798E-03
+00280E+06,+41024E-03,+02770E-03
+00290E+06,+40932E-03,+02778E-03
+00300E+06,+40870E-03,+02697E-03
+00310E+06,+40863E-03,+02745E-03
+00320E+06,+40910E-03,+02719E-03
+00330E+06,+40797E-03,+02705E-03
+00340E+06,+40631E-03,+02630E-03
+00350E+06,+40300E-03,+02660E-03
+00360E+06,+40100E-03,+02600E-03
+00370E+06,+39937E-03,+02607E-03
+00380E+06,+39800E-03,+02628E-03
+00390E+06,+39580E-03,+02623E-03
+00400E+06,+39127E-03,+02691E-03
+00410E+06,+38795E-03,+02651E-03
+00420E+06,+38555E-03,+02681E-03
+00430E+06,+38464E-03,+02688E-03
+00440E+06,+38241E-03,+02701E-03
+00450E+06,+37996E-03,+02643E-03
+00460E+06,+37613E-03,+02663E-03
+00470E+06,+37264E-03,+02588E-03
+00480E+06,+36950E-03,+02583E-03
+00490E+06,+36667E-03,+02530E-03
+00500E+06,+36485E-03,+02562E-03
+00510E+06,+36333E-03,+02483E-03
+00520E+06,+36000E-03,+02473E-03
+00530E+06,+35703E-03,+02458E-03
+00540E+06,+35470E-03,+02449E-03
+00550E+06,+35307E-03,+02503E-03
+00560E+06,+35144E-03,+02484E-03
+00570E+06,+34866E-03,+02420E-03
+00580E+06,+34671E-03,+02520E-03
+00590E+06,+34443E-03,+02477E-03
+00600E+06,+34267E-03,+02473E-03
+00610E+06,+34192E-03,+02472E-03
+00620E+06,+34033E-03,+02488E-03
+00630E+06,+33704E-03,+02458E-03
+00640E+06,+33358E-03,+02474E-03
+00650E+06,+33132E-03,+02475E-03
+00660E+06,+33008E-03,+02421E-03
+00670E+06,+32912E-03,+02389E-03
+00680E+06,+32758E-03,+02366E-03
+00690E+06,+32513E-03,+02389E-03
+00700E+06,+32296E-03,+02381E-03
+00710E+06,+32018E-03,+02329E-03
+00720E+06,+31558E-03,+02336E-03
+00730E+06,+31324E-03,+02295E-03
+00740E+06,+31202E-03,+02351E-03
+00750E+06,+31213E-03,+02325E-03
+00760E+06,+31118E-03,+02292E-03
+00770E+06,+30853E-03,+02321E-03
+00780E+06,+30505E-03,+02290E-03
+00790E+06,+30179E-03,+02235E-03
+00800E+06,+29704E-03,+02475E-03
+00810E+06,+29697E-03,+02488E-03
+00820E+06,+29625E-03,+02433E-03
+00830E+06,+29353E-03,+02488E-03
+00840E+06,+29089E-03,+02452E-03
+00850E+06,+28848E-03,+02430E-03
+00860E+06,+28757E-03,+02521E-03
+00870E+06,+28813E-03,+02516E-03
+00880E+06,+28676E-03,+02527E-03
+00890E+06,+28351E-03,+02551E-03
+00900E+06,+27864E-03,+02547E-03
+00910E+06,+27470E-03,+02584E-03
+00920E+06,+27342E-03,+02561E-03
+00930E+06,+27442E-03,+02526E-03
+00940E+06,+27534E-03,+02519E-03
+00950E+06,+27367E-03,+02474E-03
+00960E+06,+26970E-03,+02454E-03
+00970E+06,+26597E-03,+02430E-03
+00980E+06,+26377E-03,+02447E-03
+00990E+06,+26358E-03,+02461E-03
+01000E+06,+26456E-03,+02409E-03
+01010E+06,+26360E-03,+02428E-03
+01020E+06,+26044E-03,+02404E-03
+01030E+06,+25664E-03,+02402E-03
+01040E+06,+25439E-03,+02409E-03
+01050E+06,+25420E-03,+02419E-03
+01060E+06,+25563E-03,+02438E-03
+01070E+06,+25574E-03,+02457E-03
+01080E+06,+25357E-03,+02423E-03
+01090E+06,+25078E-03,+02404E-03
+01100E+06,+24934E-03,+02462E-03
+01110E+06,+24878E-03,+02447E-03
+01120E+06,+24852E-03,+02475E-03
+01130E+06,+24799E-03,+02424E-03
+01140E+06,+24596E-03,+02447E-03
+01150E+06,+24469E-03,+02369E-03
+01160E+06,+24250E-03,+02432E-03
+01170E+06,+24405E-03,+02547E-03
+01180E+06,+24466E-03,+02480E-03
+01190E+06,+24259E-03,+02475E-03
+01200E+06,+23970E-03,+02465E-03
+01210E+06,+23772E-03,+02430E-03
+01220E+06,+23680E-03,+02429E-03
+01230E+06,+23792E-03,+02404E-03
+01240E+06,+23857E-03,+02429E-03
+01250E+06,+23802E-03,+02420E-03
+01260E+06,+23448E-03,+02474E-03
+01270E+06,+23147E-03,+02468E-03
+01280E+06,+22871E-03,+02549E-03
+01290E+06,+22834E-03,+02572E-03
+01300E+06,+22753E-03,+02623E-03
+01310E+06,+22698E-03,+02597E-03
+01320E+06,+22447E-03,+02603E-03
+01330E+06,+22203E-03,+02586E-03
+01340E+06,+21916E-03,+02666E-03
+01350E+06,+21813E-03,+02701E-03
+01360E+06,+21847E-03,+02666E-03
+01370E+06,+21782E-03,+02686E-03
+01380E+06,+21601E-03,+02650E-03
+01390E+06,+21303E-03,+02708E-03
+01400E+06,+21103E-03,+02699E-03
+01410E+06,+20924E-03,+02779E-03
+01420E+06,+20713E-03,+02770E-03
+01430E+06,+20487E-03,+02764E-03
+01440E+06,+20279E-03,+02853E-03
+01450E+06,+20061E-03,+02982E-03
+01460E+06,+19811E-03,+03135E-03
+01470E+06,+19522E-03,+03399E-03
+01480E+06,+19092E-03,+03730E-03
+01490E+06,+18778E-03,+03942E-03
+01500E+06,+18656E-03,+03870E-03
+01510E+06,+18653E-03,+03715E-03
+01520E+06,+18669E-03,+03652E-03
+01530E+06,+18741E-03,+03557E-03
+01540E+06,+18755E-03,+03500E-03
+01550E+06,+18754E-03,+03393E-03
+01560E+06,+18643E-03,+03363E-03
+01570E+06,+18503E-03,+03299E-03
+01580E+06,+18347E-03,+03336E-03
+01590E+06,+18304E-03,+03324E-03
