Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+09608E-03,+29198E-03
+00020E+06,+09356E-03,+30323E-03
+00030E+06,+23950E-03,+15021E-03
+00040E+06,+39071E-03,+02254E-03
+00050E+06,+39320E-03,+01777E-03
+00060E+06,+39302E-03,+01644E-03
+00070E+06,+39250E-03,+01603E-03
+00080E+06,+39036E-03,+01639E-03
+00090E+06,+39001E-03,+01593E-03
+00100E+06,+39075E-03,+01572E-03
+00110E+06,+39225E-03,+01538E-03
+00120E+06,+39411E-03,+01438E-03
+00130E+06,+39453E-03,+01534E-03
+00140E+06,+39478E-03,+01466E-03
+00150E+06,+39257E-03,+01548E-03
+00160E+06,+39027E-03,+01602E-03
+00170E+06,+39036E-03,+01630E-03
+00180E+06,+39105E-03,+01693E-03
+00190E+06,+39197E-03,+01810E-03
+00200E+06,+39264E-03,+01811E-03
+00210E+06,+39187E-03,+01797E-03
+00220E+06,+39081E-03,+01814E-03
+00230E+06,+38988E-03,+01854E-03
+00240E+06,+39006E-03,+01867E-03
+00250E+06,+39065E-03,+01888E-03
+00260E+06,+39133E-03,+01920E-03
+00270E+06,+39098E-03,+01947E-03
+00280E+06,+38955E-03,+02071E-03
+00290E+06,+39037E-03,+02070E-03
+00300E+06,+38961E-03,+02192E-03
+00310E+06,+38999E-03,+02227E-03
+00320E+06,+38978E-03,+02307E-03
+00330E+06,+38889E-03,+02381E-03
+00340E+06,+38744E-03,+02398E-03
+00350E+06,+38696E-03,+02409E-03
+00360E+06,+38697E-03,+02519E-03
+00370E+06,+38746E-03,+02598E-03
+00380E+06,+38659E-03,+02746E-03
+00390E+06,+38594E-03,+02890E-03
+00400E+06,+38413E-03,+03005E-03
+00410E+06,+38092E-03,+03155E-03
+00420E+06,+37750E-03,+03354E-03
+00430E+06,+37456E-03,+03581E-03
+00440E+06,+37153E-03,+03821E-03
+00450E+06,+36663E-03,+04159E-03
+00460E+06,+36008E-03,+04554E-03
+00470E+06,+35477E-03,+05109E-03
+00480E+06,+34921E-03,+05967E-03
+00490E+06,+34025E-03,+07191E-03
+00500E+06,+32313E-03,+08939E-03
+00510E+06,+29462E-03,+11431E-03
+00520E+06,+25588E-03,+14532E-03
+00530E+06,+21001E-03,+18319E-03
+00540E+06,+16476E-03,+22239E-03
+00550E+06,+12566E-03,+25870E-03
+00560E+06,+10812E-03,+27352E-03
+00570E+06,+09025E-03,+28891E-03
+00580E+06,+10336E-03,+27435E-03
+00590E+06,+09493E-03,+28510E-03
+00600E+06,+09764E-03,+28570E-03
+00610E+06,+09141E-03,+29247E-03
+00620E+06,+07848E-03,+30408E-03
+00630E+06,+08089E-03,+30176E-03
+00640E+06,+09480E-03,+29114E-03
+00650E+06,+90000E+06,+90099E+06
+00660E+06,+90000E+06,+90099E+06
+00670E+06,+90000E+06,+90099E+06
+00680E+06,+07560E-03,+30853E-03
+00690E+06,+07241E-03,+31277E-03
+00700E+06,+90000E+06,+90099E+06
+00710E+06,+06640E-03,+31755E-03
+00720E+06,+06006E-03,+31844E-03
+00730E+06,+07588E-03,+29912E-03
+00740E+06,+07498E-03,+29899E-03
+00750E+06,+07353E-03,+30124E-03
+00760E+06,+07910E-03,+29375E-03
+00770E+06,+05169E-03,+31767E-03
+00780E+06,+06866E-03,+29701E-03
+00790E+06,+06599E-03,+29728E-03
+00800E+06,+05846E-03,+30422E-03
+00810E+06,+04453E-03,+31714E-03
+00820E+06,+05293E-03,+30646E-03
+00830E+06,+04257E-03,+31537E-03
+00840E+06,+03792E-03,+31932E-03
+00850E+06,+90000E+06,+90099E+06
+00860E+06,+90000E+06,+90099E+06
+00870E+06,+90000E+06,+90099E+06
+00880E+06,+90000E+06,+90099E+06
+00890E+06,+90000E+06,+90099E+06
