Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+90000E+06,+90099E+06
+00020E+06,+90000E+06,+90099E+06
+00030E+06,+90000E+06,+90099E+06
+00040E+06,+90000E+06,+90099E+06
+00050E+06,+90000E+06,+90099E+06
+00060E+06,+90000E+06,+90099E+06
+00070E+06,+90000E+06,+90099E+06
+00080E+06,+90000E+06,+90099E+06
+00090E+06,+90000E+06,+90099E+06
+00100E+06,+90000E+06,+90099E+06
+00110E+06,+90000E+06,+90099E+06
+00120E+06,+90000E+06,+90099E+06
+00130E+06,+90000E+06,+90099E+06
+00140E+06,+09769E-03,+31662E-03
+00150E+06,+13103E-03,+28792E-03
+00160E+06,+18818E-03,+23918E-03
+00170E+06,+24412E-03,+19249E-03
+00180E+06,+30807E-03,+14070E-03
+00190E+06,+36771E-03,+09276E-03
+00200E+06,+40302E-03,+05238E-03
+00210E+06,+41541E-03,+03101E-03
+00220E+06,+42658E-03,+02432E-03
+00230E+06,+43330E-03,+02267E-03
+00240E+06,+43277E-03,+02063E-03
+00250E+06,+42849E-03,+01904E-03
+00260E+06,+42469E-03,+01712E-03
+00270E+06,+42457E-03,+01483E-03
+00280E+06,+42377E-03,+01521E-03
+00290E+06,+41926E-03,+01808E-03
+00300E+06,+41567E-03,+01956E-03
+00310E+06,+41409E-03,+02085E-03
+00320E+06,+41305E-03,+02133E-03
+00330E+06,+41034E-03,+02088E-03
+00340E+06,+40596E-03,+02104E-03
+00350E+06,+40224E-03,+02036E-03
+00360E+06,+39828E-03,+02032E-03
+00370E+06,+39486E-03,+02045E-03
+00380E+06,+39174E-03,+02096E-03
+00390E+06,+38956E-03,+02107E-03
+00400E+06,+38487E-03,+02183E-03
+00410E+06,+38091E-03,+02234E-03
+00420E+06,+37894E-03,+02283E-03
+00430E+06,+37913E-03,+02261E-03
+00440E+06,+37926E-03,+02328E-03
+00450E+06,+37872E-03,+02310E-03
+00460E+06,+37618E-03,+02309E-03
+00470E+06,+37354E-03,+02295E-03
+00480E+06,+37104E-03,+02267E-03
+00490E+06,+36972E-03,+02176E-03
+00500E+06,+36840E-03,+02165E-03
+00510E+06,+36628E-03,+02143E-03
+00520E+06,+36264E-03,+02134E-03
+00530E+06,+35894E-03,+02114E-03
+00540E+06,+35520E-03,+02116E-03
+00550E+06,+35220E-03,+02077E-03
+00560E+06,+34706E-03,+01977E-03
+00570E+06,+35689E-03,+01993E-03
+00580E+06,+35711E-03,+01953E-03
+00590E+06,+34590E-03,+02204E-03
+00600E+06,+34158E-03,+02249E-03
+00610E+06,+34025E-03,+02226E-03
+00620E+06,+33857E-03,+02272E-03
+00630E+06,+33583E-03,+02245E-03
+00640E+06,+33302E-03,+02264E-03
+00650E+06,+33002E-03,+02242E-03
+00660E+06,+32719E-03,+02288E-03
+00670E+06,+32645E-03,+02203E-03
+00680E+06,+32486E-03,+02224E-03
+00690E+06,+32308E-03,+02237E-03
+00700E+06,+32173E-03,+02182E-03
+00710E+06,+31885E-03,+02181E-03
+00720E+06,+31372E-03,+02156E-03
+00730E+06,+31073E-03,+02175E-03
+00740E+06,+30899E-03,+02182E-03
+00750E+06,+30940E-03,+02174E-03
+00760E+06,+30805E-03,+02208E-03
+00770E+06,+30538E-03,+02211E-03
+00780E+06,+30134E-03,+02228E-03
+00790E+06,+29756E-03,+02215E-03
+00800E+06,+29541E-03,+02209E-03
+00810E+06,+29456E-03,+02233E-03
+00820E+06,+29301E-03,+02250E-03
+00830E+06,+29130E-03,+02169E-03
+00840E+06,+28998E-03,+02153E-03
+00850E+06,+28546E-03,+02272E-03
+00860E+06,+28473E-03,+02278E-03
+00870E+06,+28700E-03,+02256E-03
+00880E+06,+28421E-03,+02438E-03
+00890E+06,+28009E-03,+02472E-03
+00900E+06,+27538E-03,+02402E-03
+00910E+06,+27081E-03,+02459E-03
+00920E+06,+26863E-03,+02524E-03
+00930E+06,+26926E-03,+02437E-03
+00940E+06,+27085E-03,+02417E-03
+00950E+06,+27082E-03,+02407E-03
+00960E+06,+26827E-03,+02345E-03
+00970E+06,+26490E-03,+02321E-03
+00980E+06,+26190E-03,+02323E-03
+00990E+06,+26165E-03,+02306E-03
+01000E+06,+26322E-03,+02294E-03
+01010E+06,+26428E-03,+02250E-03
+01020E+06,+26131E-03,+02328E-03
+01030E+06,+25706E-03,+02265E-03
+01040E+06,+25395E-03,+02342E-03
+01050E+06,+25361E-03,+02369E-03
+01060E+06,+25502E-03,+02323E-03
+01070E+06,+25478E-03,+02409E-03
+01080E+06,+25237E-03,+02453E-03
+01090E+06,+24930E-03,+02421E-03
+01100E+06,+24735E-03,+02436E-03
+01110E+06,+24659E-03,+02437E-03
+01120E+06,+24613E-03,+02439E-03
+01130E+06,+24483E-03,+02454E-03
+01140E+06,+24299E-03,+02371E-03
+01150E+06,+24094E-03,+02324E-03
+01160E+06,+23948E-03,+02338E-03
+01170E+06,+23821E-03,+02419E-03
+01180E+06,+23939E-03,+02509E-03
+01190E+06,+23735E-03,+02588E-03
+01200E+06,+23570E-03,+02586E-03
+01210E+06,+23337E-03,+02587E-03
+01220E+06,+23209E-03,+02564E-03
+01230E+06,+23298E-03,+02596E-03
+01240E+06,+23471E-03,+02606E-03
+01250E+06,+23565E-03,+02566E-03
+01260E+06,+23290E-03,+02624E-03
+01270E+06,+22958E-03,+02622E-03
+01280E+06,+22728E-03,+02670E-03
+01290E+06,+22608E-03,+02706E-03
+01300E+06,+22597E-03,+02718E-03
+01310E+06,+22554E-03,+02702E-03
+01320E+06,+22269E-03,+02729E-03
+01330E+06,+21900E-03,+02664E-03
+01340E+06,+21528E-03,+02698E-03
+01350E+06,+21314E-03,+02686E-03
+01360E+06,+21366E-03,+02745E-03
+01370E+06,+21610E-03,+02774E-03
+01380E+06,+21794E-03,+02770E-03
+01390E+06,+21623E-03,+02823E-03
+01400E+06,+21100E-03,+02899E-03
+01410E+06,+20337E-03,+03106E-03
+01420E+06,+20018E-03,+03190E-03
+01430E+06,+19754E-03,+03299E-03
+01440E+06,+19526E-03,+03337E-03
+01450E+06,+19290E-03,+03431E-03
+01460E+06,+19018E-03,+03530E-03
+01470E+06,+18972E-03,+03569E-03
+01480E+06,+18881E-03,+03637E-03
+01490E+06,+18808E-03,+03608E-03
+01500E+06,+18786E-03,+03465E-03
+01510E+06,+18712E-03,+03352E-03
+01520E+06,+18643E-03,+03279E-03
+01530E+06,+18654E-03,+03271E-03
+01540E+06,+18668E-03,+03206E-03
+01550E+06,+18688E-03,+03192E-03
+01560E+06,+18619E-03,+03130E-03
+01570E+06,+18377E-03,+03152E-03
+01580E+06,+18150E-03,+03115E-03
+01590E+06,+18020E-03,+03266E-03
