Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+90000E+06,+90099E+06
+00020E+06,+14624E-03,+25000E-03
+00030E+06,+38305E-03,+02236E-03
+00040E+06,+38466E-03,+01692E-03
+00050E+06,+37766E-03,+01718E-03
+00060E+06,+37324E-03,+01839E-03
+00070E+06,+36556E-03,+02132E-03
+00080E+06,+32994E-03,+05670E-03
+00090E+06,+90000E+06,+90099E+06
+00100E+06,+90000E+06,+90099E+06
+00110E+06,+05848E-03,+31496E-03
+00120E+06,+28772E-03,+08606E-03
+00130E+06,+35103E-03,+03475E-03
+00140E+06,+36778E-03,+02389E-03
+00150E+06,+36755E-03,+02138E-03
+00160E+06,+36590E-03,+02040E-03
+00170E+06,+36591E-03,+02020E-03
+00180E+06,+36773E-03,+02045E-03
+00190E+06,+37090E-03,+02016E-03
+00200E+06,+37277E-03,+02091E-03
+00210E+06,+37313E-03,+02098E-03
+00220E+06,+37108E-03,+02120E-03
+00230E+06,+37088E-03,+02111E-03
+00240E+06,+37465E-03,+02137E-03
+00250E+06,+38149E-03,+02165E-03
+00260E+06,+36747E-03,+02162E-03
+00270E+06,+36728E-03,+02209E-03
+00280E+06,+36753E-03,+02250E-03
+00290E+06,+36834E-03,+02319E-03
+00300E+06,+37026E-03,+02346E-03
+00310E+06,+37180E-03,+02440E-03
+00320E+06,+37210E-03,+02480E-03
+00330E+06,+37077E-03,+02529E-03
+00340E+06,+36985E-03,+02506E-03
+00350E+06,+36878E-03,+02615E-03
+00360E+06,+36841E-03,+02714E-03
+00370E+06,+36808E-03,+02775E-03
+00380E+06,+36695E-03,+02886E-03
+00390E+06,+36577E-03,+03031E-03
+00400E+06,+36378E-03,+03152E-03
+00410E+06,+36319E-03,+03235E-03
+00420E+06,+36092E-03,+03417E-03
+00430E+06,+35774E-03,+03640E-03
+00440E+06,+35403E-03,+03856E-03
+00450E+06,+35092E-03,+04117E-03
+00460E+06,+34785E-03,+04500E-03
+00470E+06,+34382E-03,+04916E-03
+00480E+06,+33766E-03,+05511E-03
+00490E+06,+32919E-03,+06272E-03
+00500E+06,+31789E-03,+07453E-03
+00510E+06,+30112E-03,+09212E-03
+00520E+06,+27156E-03,+11900E-03
+00530E+06,+23341E-03,+15355E-03
+00540E+06,+18532E-03,+19984E-03
+00550E+06,+13375E-03,+24963E-03
+00560E+06,+06157E-03,+31817E-03
+00570E+06,+90000E+06,+90099E+06
+00580E+06,+90000E+06,+90099E+06
+00590E+06,+90000E+06,+90099E+06
+00600E+06,+90000E+06,+90099E+06
+00610E+06,+90000E+06,+90099E+06
+00620E+06,+05387E-03,+30933E-03
+00630E+06,+90000E+06,+90099E+06
+00640E+06,+05279E-03,+31135E-03
+00650E+06,+90000E+06,+90099E+06
+00660E+06,+90000E+06,+90099E+06
+00670E+06,+90000E+06,+90099E+06
+00680E+06,+90000E+06,+90099E+06
+00690E+06,+05999E-03,+30553E-03
+00700E+06,+90000E+06,+90099E+06
+00710E+06,+04675E-03,+31883E-03
