Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+09476E-03,+28848E-03
+00030E+06,+22734E-03,+15666E-03
+00050E+06,+39509E-03,+01677E-03
+00070E+06,+39459E-03,+01495E-03
+00090E+06,+39318E-03,+01452E-03
+00110E+06,+39519E-03,+01422E-03
+00130E+06,+39616E-03,+01386E-03
+00150E+06,+39553E-03,+01390E-03
+00170E+06,+39232E-03,+01551E-03
+00190E+06,+39428E-03,+01660E-03
+00210E+06,+39373E-03,+01721E-03
+00230E+06,+39177E-03,+01743E-03
+00250E+06,+39364E-03,+01775E-03
+00270E+06,+39372E-03,+01835E-03
+00290E+06,+39148E-03,+01968E-03
+00310E+06,+39226E-03,+02119E-03
+00330E+06,+38998E-03,+02208E-03
+00350E+06,+38904E-03,+02273E-03
+00370E+06,+39101E-03,+02433E-03
+00390E+06,+38960E-03,+02600E-03
+00410E+06,+38535E-03,+02928E-03
+00430E+06,+38067E-03,+03256E-03
+00450E+06,+37368E-03,+03810E-03
+00470E+06,+35955E-03,+04656E-03
+00490E+06,+34929E-03,+06442E-03
+00510E+06,+31388E-03,+09993E-03
+00530E+06,+23476E-03,+16342E-03
+00550E+06,+15023E-03,+23694E-03
+00570E+06,+09966E-03,+28139E-03
+00590E+06,+10225E-03,+27722E-03
+00610E+06,+08259E-03,+30317E-03
+00630E+06,+08436E-03,+29923E-03
+00650E+06,+08083E-03,+30820E-03
+00670E+06,+07454E-03,+31486E-03
+00690E+06,+08218E-03,+30441E-03
+00710E+06,+08170E-03,+30674E-03
+00730E+06,+08338E-03,+29507E-03
+00750E+06,+08131E-03,+29614E-03
+00770E+06,+08091E-03,+29324E-03
+00790E+06,+05407E-03,+31384E-03
+00810E+06,+90000E+06,+90099E+06
+00830E+06,+05954E-03,+30220E-03
+00850E+06,+04256E-03,+31788E-03
+00870E+06,+04968E-03,+30736E-03
+00890E+06,+90000E+06,+90099E+06
+00910E+06,+90000E+06,+90099E+06
+00930E+06,+90000E+06,+90099E+06
+00950E+06,+90000E+06,+90099E+06
+00970E+06,+90000E+06,+90099E+06
+00990E+06,+90000E+06,+90099E+06
+01010E+06,+90000E+06,+90099E+06
+01030E+06,+90000E+06,+90099E+06
+01050E+06,+90000E+06,+90099E+06
+01070E+06,+90000E+06,+90099E+06
+01090E+06,+90000E+06,+90099E+06
+01110E+06,+90000E+06,+90099E+06
+01130E+06,+90000E+06,+90099E+06
+01150E+06,+90000E+06,+90099E+06
+01170E+06,+90000E+06,+90099E+06
+01190E+06,+90000E+06,+90099E+06
+01210E+06,+90000E+06,+90099E+06
+01230E+06,+90000E+06,+90099E+06
+01250E+06,+90000E+06,+90099E+06
+01270E+06,+90000E+06,+90099E+06
+01290E+06,+90000E+06,+90099E+06
+01310E+06,+90000E+06,+90099E+06
+01330E+06,+90000E+06,+90099E+06
+01350E+06,+90000E+06,+90099E+06
+01370E+06,+90000E+06,+90099E+06
+01390E+06,+90000E+06,+90099E+06
+01410E+06,+90000E+06,+90099E+06
+01430E+06,+90000E+06,+90099E+06
+01450E+06,+90000E+06,+90099E+06
+01470E+06,+90000E+06,+90099E+06
+01490E+06,+90000E+06,+90099E+06
+01510E+06,+90000E+06,+90099E+06
+01530E+06,+90000E+06,+90099E+06
+01550E+06,+90000E+06,+90099E+06
+01570E+06,+90000E+06,+90099E+06
+01590E+06,+90000E+06,+90099E+06
