Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+09398E-03,+29223E-03
+00020E+06,+10185E-03,+29059E-03
+00030E+06,+22723E-03,+15797E-03
+00040E+06,+39101E-03,+02153E-03
+00050E+06,+39344E-03,+01724E-03
+00060E+06,+39282E-03,+01541E-03
+00070E+06,+39143E-03,+01523E-03
+00080E+06,+38971E-03,+01484E-03
+00090E+06,+38934E-03,+01473E-03
+00100E+06,+39079E-03,+01444E-03
+00110E+06,+39243E-03,+01445E-03
+00120E+06,+39397E-03,+01409E-03
+00130E+06,+39441E-03,+01409E-03
+00140E+06,+39430E-03,+01376E-03
+00150E+06,+39261E-03,+01391E-03
+00160E+06,+39071E-03,+01476E-03
+00170E+06,+39007E-03,+01608E-03
+00180E+06,+39094E-03,+01620E-03
+00190E+06,+39219E-03,+01629E-03
+00200E+06,+39258E-03,+01641E-03
+00210E+06,+39189E-03,+01716E-03
+00220E+06,+39136E-03,+01690E-03
+00230E+06,+39081E-03,+01774E-03
+00240E+06,+39183E-03,+01751E-03
+00250E+06,+39294E-03,+01764E-03
+00260E+06,+39350E-03,+01794E-03
+00270E+06,+39259E-03,+01849E-03
+00280E+06,+39090E-03,+01949E-03
+00290E+06,+39086E-03,+02026E-03
+00300E+06,+39077E-03,+02090E-03
+00310E+06,+39112E-03,+02160E-03
+00320E+06,+39115E-03,+02163E-03
+00330E+06,+38941E-03,+02251E-03
+00340E+06,+38882E-03,+02263E-03
+00350E+06,+38845E-03,+02325E-03
+00360E+06,+38922E-03,+02341E-03
+00370E+06,+38874E-03,+02512E-03
+00380E+06,+38864E-03,+02550E-03
+00390E+06,+38770E-03,+02668E-03
+00400E+06,+38601E-03,+02790E-03
+00410E+06,+38322E-03,+02975E-03
+00420E+06,+38130E-03,+03050E-03
+00430E+06,+37879E-03,+03355E-03
+00440E+06,+37581E-03,+03581E-03
+00450E+06,+37086E-03,+03873E-03
+00460E+06,+36417E-03,+04175E-03
+00470E+06,+35734E-03,+04732E-03
+00480E+06,+35283E-03,+05456E-03
+00490E+06,+34641E-03,+06413E-03
+00500E+06,+33279E-03,+08032E-03
+00510E+06,+31157E-03,+10067E-03
+00520E+06,+27585E-03,+12957E-03
+00530E+06,+23278E-03,+16343E-03
+00540E+06,+18905E-03,+20070E-03
+00550E+06,+14540E-03,+24090E-03
+00560E+06,+11147E-03,+27155E-03
+00570E+06,+09119E-03,+28794E-03
+00580E+06,+10231E-03,+27410E-03
+00590E+06,+09193E-03,+28665E-03
