Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+90000E+06,+90099E+06
+00030E+06,+90000E+06,+90099E+06
+00050E+06,+90000E+06,+90099E+06
+00070E+06,+90000E+06,+90099E+06
+00090E+06,+12875E-03,+29819E-03
+00110E+06,+13204E-03,+28781E-03
+00130E+06,+11928E-03,+29967E-03
+00150E+06,+14855E-03,+27279E-03
+00170E+06,+24145E-03,+19633E-03
+00190E+06,+36827E-03,+09501E-03
+00210E+06,+43096E-03,+02734E-03
+00230E+06,+44225E-03,+01793E-03
+00250E+06,+44157E-03,+01549E-03
+00270E+06,+43360E-03,+01453E-03
+00290E+06,+42690E-03,+01500E-03
+00310E+06,+42264E-03,+01572E-03
+00330E+06,+41948E-03,+01533E-03
+00350E+06,+41219E-03,+01477E-03
+00370E+06,+40793E-03,+01413E-03
+00390E+06,+40404E-03,+01463E-03
+00410E+06,+39741E-03,+01527E-03
+00430E+06,+39359E-03,+01586E-03
+00450E+06,+39223E-03,+01623E-03
+00470E+06,+38598E-03,+01605E-03
+00490E+06,+38049E-03,+01557E-03
+00510E+06,+37798E-03,+01539E-03
+00530E+06,+37216E-03,+01498E-03
+00550E+06,+36753E-03,+01487E-03
+00570E+06,+36439E-03,+01573E-03
+00590E+06,+35773E-03,+01582E-03
+00610E+06,+35365E-03,+01611E-03
+00630E+06,+35034E-03,+01596E-03
+00650E+06,+34440E-03,+01597E-03
+00670E+06,+33857E-03,+01556E-03
+00690E+06,+33592E-03,+01595E-03
+00710E+06,+33130E-03,+01613E-03
+00730E+06,+32467E-03,+01533E-03
+00750E+06,+32180E-03,+01641E-03
+00770E+06,+31895E-03,+01603E-03
+00790E+06,+31226E-03,+01634E-03
+00810E+06,+30761E-03,+01684E-03
+00830E+06,+30575E-03,+01713E-03
+00850E+06,+29949E-03,+01733E-03
+00870E+06,+29707E-03,+01747E-03
+00890E+06,+29402E-03,+01820E-03
+00910E+06,+28525E-03,+01870E-03
+00930E+06,+28324E-03,+01811E-03
+00950E+06,+28434E-03,+01803E-03
+00970E+06,+27727E-03,+01727E-03
+00990E+06,+27329E-03,+01738E-03
+01010E+06,+27436E-03,+01783E-03
+01030E+06,+26724E-03,+01743E-03
+01050E+06,+26476E-03,+01761E-03
+01070E+06,+26607E-03,+01844E-03
+01090E+06,+26133E-03,+01875E-03
+01110E+06,+25794E-03,+01949E-03
+01130E+06,+25564E-03,+01948E-03
+01150E+06,+25104E-03,+02041E-03
+01170E+06,+25103E-03,+01980E-03
+01190E+06,+25180E-03,+01989E-03
+01210E+06,+24373E-03,+01937E-03
+01230E+06,+24010E-03,+01999E-03
+01250E+06,+24140E-03,+02096E-03
+01270E+06,+23763E-03,+02130E-03
+01290E+06,+23425E-03,+02190E-03
+01310E+06,+23322E-03,+02288E-03
+01330E+06,+22893E-03,+02263E-03
+01350E+06,+22389E-03,+02301E-03
+01370E+06,+22247E-03,+02435E-03
+01390E+06,+22103E-03,+02436E-03
+01410E+06,+21527E-03,+02550E-03
+01430E+06,+21040E-03,+02693E-03
+01450E+06,+20603E-03,+02769E-03
+01470E+06,+20228E-03,+02910E-03
+01490E+06,+20093E-03,+02906E-03
+01510E+06,+20153E-03,+02688E-03
+01530E+06,+20033E-03,+02597E-03
+01550E+06,+19820E-03,+02541E-03
+01570E+06,+19580E-03,+02577E-03
+01590E+06,+19392E-03,+02615E-03
