,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,5.24024127149e-09,150.0,5.15414193506e-14,5.52256945501e-14,5.24013450438e-09
1,1.60758619649e-08,160.0,7.29606215782e-13,9.17161115226e-13,1.60742151976e-08
2,5.37448029345e-08,170.0,6.68413469595e-12,9.7646278662e-12,5.3728354172e-08
3,1.53103679689e-07,180.0,1.09138632935e-10,1.83732559012e-10,1.52810808497e-07
4,3.26426023693e-07,190.0,1.17055495617e-09,2.25387024174e-09,3.23001598495e-07
5,5.43703052106e-07,200.0,8.96564762651e-09,1.961147838e-08,5.151259261e-07
6,5.45757218947e-07,210.0,2.26761759718e-08,5.6005960202e-08,4.67075082773e-07
7,5.44569285788e-07,220.0,4.28447152902e-08,1.18818736048e-07,3.8290583445e-07
8,5.86308763277e-07,230.0,5.73219455192e-08,1.7759493518e-07,3.51391882578e-07
9,6.28168814781e-07,240.0,6.91581590072e-08,2.38264019315e-07,3.20746636459e-07
10,6.62705732487e-07,250.0,7.49482988435e-08,2.85909068245e-07,3.01848365399e-07
11,6.77805877351e-07,260.0,7.5522906164e-08,3.17749696125e-07,2.84533275062e-07
12,6.69156633328e-07,270.0,7.14649327944e-08,3.30412409073e-07,2.67279291461e-07
13,6.4847361437e-07,280.0,6.54706275092e-08,3.3151033034e-07,2.51492656521e-07
14,6.35535779159e-07,290.0,6.10983614767e-08,3.37753204613e-07,2.3668421307e-07
15,6.19483631488e-07,300.0,5.65342854792e-08,3.40192659218e-07,2.22756686791e-07
16,5.93816498726e-07,310.0,5.11164232705e-08,3.33905113776e-07,2.08794961679e-07
17,5.65887723816e-07,320.0,4.5856197643e-08,3.24333354334e-07,1.95698171839e-07
18,5.3653700289e-07,330.0,4.08294712241e-08,3.1192324266e-07,1.83784289005e-07
19,5.07714464232e-07,340.0,3.62868484775e-08,2.98754961333e-07,1.72672654422e-07
20,4.77419584067e-07,350.0,3.19874618544e-08,2.83208139924e-07,1.62223982288e-07
21,4.50226540232e-07,360.0,2.83364144363e-08,2.69247114408e-07,1.52643011388e-07
22,4.26010016647e-07,370.0,2.52364935086e-08,2.56852173358e-07,1.4392134978e-07
23,4.03594236235e-07,380.0,2.25464629383e-08,2.45353652626e-07,1.35694120671e-07
24,3.81786282546e-07,390.0,2.01135613587e-08,2.33622846378e-07,1.28049874809e-07
25,3.6004903874e-07,400.0,1.78709377085e-08,2.21195230587e-07,1.20982870444e-07
26,3.40971171609e-07,410.0,1.59946695426e-08,2.10634918689e-07,1.14341583377e-07
27,3.22169701506e-07,420.0,1.42821836719e-08,1.99817373913e-07,1.0807014392e-07
28,3.04058479907e-07,430.0,1.2745136823e-08,1.89170549335e-07,1.02142793749e-07
29,2.86952360055e-07,440.0,1.13771635891e-08,1.7890736415e-07,9.66678323165e-08
30,2.71701840974e-07,450.0,1.02142045991e-08,1.69951436592e-07,9.15361997833e-08
31,2.57230544751e-07,460.0,9.17751827833e-09,1.61375229239e-07,8.66777972335e-08
32,2.42724613197e-07,470.0,8.21277986405e-09,1.52433770112e-07,8.20780632207e-08
33,2.27720432102e-07,480.0,7.28645070036e-09,1.4259223839e-07,7.78417430111e-08
34,2.15067379497e-07,490.0,6.52992758452e-09,1.34588077889e-07,7.39493740232e-08
35,2.04107953702e-07,500.0,5.90024795822e-09,1.27948514038e-07,7.0259191706e-08
36,1.92856223729e-07,510.0,5.30002383791e-09,1.20802438998e-07,6.67537608932e-08
