,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,inf,10.0,inf,,inf
1,1.00719743071e-09,20.0,1.41890783939e-10,0.0,8.65306646775e-10
2,4.90047938507e-06,30.0,4.77196173271e-06,0.0,1.2851765236e-07
3,2.70817463089e-06,40.0,2.61242727225e-06,0.0,9.57473586378e-08
4,1.17232463417e-06,50.0,1.10344869895e-06,0.0,6.88759352263e-08
5,5.91719189633e-07,60.0,5.31504515887e-07,0.0,6.02146737461e-08
6,3.00905397218e-07,70.0,2.52068730699e-07,0.0,4.88366665196e-08
7,8.52558755999e-08,80.0,4.25185108017e-08,0.0,4.27373647982e-08
8,inf,90.0,inf,,inf
