,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,5.43703052106e-07,200,8.96564762651e-09,1.961147838e-08,5.151259261e-07
1,5.47574472376e-07,210,8.89623223036e-09,2.19720480588e-08,5.16706192086e-07
2,5.50248335429e-07,220,8.84709252739e-09,2.45351228194e-08,5.16866120082e-07
3,5.5187416751e-07,230,8.8927776401e-09,2.75516166497e-08,5.1542977322e-07
4,5.51986743657e-07,240,8.94947938541e-09,3.083278907e-08,5.12204475202e-07
5,5.50678733645e-07,250,9.07614786911e-09,3.46232405612e-08,5.06979345215e-07
6,5.47881708906e-07,260,9.28652715997e-09,3.90714729214e-08,4.99523708824e-07
7,5.4410627082e-07,270,9.33359099524e-09,4.3153112519e-08,4.91619567306e-07
8,5.40773607914e-07,280,9.31530215032e-09,4.71680051125e-08,4.84290300651e-07
9,5.36707798484e-07,290,9.28058240469e-09,5.13032816609e-08,4.76123934418e-07
10,5.32388289492e-07,300,9.30724651695e-09,5.6005960202e-08,4.67075082773e-07
11,5.27719842222e-07,310,9.37616531373e-09,6.12474297994e-08,4.57096247108e-07
12,5.23119251954e-07,320,9.53587209058e-09,6.74456570892e-08,4.46137722774e-07
13,5.19079602448e-07,330,9.64462235313e-09,7.36816272272e-08,4.35753352868e-07
14,5.15320810983e-07,340,9.78060454293e-09,8.05251559349e-08,4.25015050505e-07
15,5.11236312117e-07,350,9.91235014204e-09,8.77612065247e-08,4.1356275545e-07
16,5.06873379613e-07,360,1.00464370015e-08,9.54592959821e-08,4.0136764663e-07
17,5.05155299652e-07,370,1.00755432157e-08,1.02546939487e-07,3.92532816949e-07
18,5.07056268082e-07,380,9.90911139242e-09,1.07832287533e-07,3.89314869157e-07
19,5.09258671935e-07,390,9.76226156988e-09,1.13390527633e-07,3.86105882732e-07
20,5.1132424507e-07,400,9.599674572e-09,1.18818736048e-07,3.8290583445e-07
21,5.13399017425e-07,410,9.43493953553e-09,1.24249376744e-07,3.79714701145e-07
22,5.15784160381e-07,420,9.28922221038e-09,1.29962478457e-07,3.76532459714e-07
23,5.17724353915e-07,430,9.11249201553e-09,1.3525277479e-07,3.73359087109e-07
