,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,3.9484608143e-10,10.0,1.17285085038e-10,0.0,2.77560996392e-10
1,3.41254283934e-10,20.0,2.0938915687e-11,0.0,3.20315368247e-10
2,1.39234397096e-08,30.0,6.32553047369e-09,0.0,7.59790923586e-09
3,3.67256430167e-06,40.0,3.49497608938e-06,0.0,1.77588212287e-07
4,2.47369099663e-06,50.0,2.32569172134e-06,0.0,1.47999275289e-07
5,1.51177772188e-06,60.0,1.378183223e-06,0.0,1.33594498886e-07
6,1.08930645408e-06,70.0,9.62762075483e-07,0.0,1.26544378593e-07
7,7.7266520483e-07,80.0,6.54904606319e-07,0.0,1.17760598511e-07
8,6.02328557802e-07,90.0,4.9033461946e-07,0.0,1.11993938342e-07
9,5.94506616822e-07,100.0,4.80450742898e-07,0.0,1.14055873924e-07
10,5.72921988913e-07,110.0,4.5384709086e-07,0.0,1.19074898053e-07
11,5.47335804343e-07,120.0,4.27513461736e-07,0.0,1.19822342607e-07
12,4.98920633504e-07,130.0,3.6707143996e-07,0.0,1.31849193545e-07
13,4.28205821188e-07,140.0,3.01793106748e-07,0.0,1.2641271444e-07
14,3.53574554353e-07,150.0,2.31797802895e-07,0.0,1.21776751458e-07
15,2.89786566913e-07,160.0,1.75677861312e-07,0.0,1.14108705601e-07
16,2.64082137788e-07,170.0,1.47097052854e-07,0.0,1.16985084934e-07
17,2.5993026563e-07,180.0,1.33529352423e-07,0.0,1.26400913208e-07
18,2.64047242527e-07,190.0,1.21021575881e-07,0.0,1.43025666646e-07
19,2.5384119693e-07,200.0,1.06234072355e-07,0.0,1.47607124575e-07
20,2.33230684693e-07,210.0,9.21106664278e-08,0.0,1.41120018265e-07
21,2.15308652749e-07,220.0,7.93563537711e-08,0.0,1.35952298978e-07
22,2.00593515842e-07,230.0,6.68110023695e-08,0.0,1.33782513472e-07
23,1.97321767011e-07,240.0,6.12618482006e-08,0.0,1.3605991881e-07
24,1.99712757398e-07,250.0,5.79659456791e-08,0.0,1.41746811719e-07
25,2.02399339842e-07,260.0,5.30755255156e-08,0.0,1.49323814326e-07
26,1.97279359494e-07,270.0,4.77785171864e-08,0.0,1.49500842308e-07
27,1.934354633e-07,280.0,4.22416230179e-08,0.0,1.51193840282e-07
28,1.97069691187e-07,290.0,4.01525501936e-08,0.0,1.56917140994e-07
29,1.9842204565e-07,300.0,3.55159039146e-08,0.0,1.62906141735e-07
