,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,inf,10.0,,inf,inf
1,8.66519160469e-10,20.0,0.0,1.21251369368e-12,8.65306646775e-10
2,2.33712565635e-07,30.0,0.0,1.05194913275e-07,1.2851765236e-07
3,2.09241756474e-07,40.0,0.0,1.13494397836e-07,9.57473586378e-08
4,1.50392795057e-07,50.0,0.0,8.15168598308e-08,6.88759352263e-08
5,1.2100099048e-07,60.0,0.0,6.07863167343e-08,6.02146737461e-08
6,9.06474412835e-08,70.0,0.0,4.1810774764e-08,4.88366665196e-08
7,5.24857326429e-08,80.0,0.0,9.7483678447e-09,4.27373647982e-08
8,inf,90.0,,inf,inf
9,5.70005689478e-11,100.0,0.0,3.54259604415e-14,5.69651429873e-11
10,7.79328087954e-11,110.0,0.0,4.59846845215e-14,7.78868241109e-11
11,1.43391517245e-08,120.0,0.0,1.68302888359e-09,1.2656122841e-08
12,8.1767089149e-08,130.0,0.0,3.38599161043e-08,4.79071730446e-08
13,1.39082802885e-07,140.0,0.0,7.46184553725e-08,6.44643475124e-08
14,1.31566628584e-07,150.0,0.0,7.58043499177e-08,5.57622786668e-08
15,1.19152117701e-07,160.0,0.0,7.03192360981e-08,4.88328816031e-08
16,1.16991865835e-07,170.0,0.0,6.83619551961e-08,4.86299106386e-08
17,1.2853481451e-07,180.0,0.0,7.53675429611e-08,5.31672715488e-08
18,1.4711401521e-07,190.0,0.0,8.57037658149e-08,6.14102493955e-08
19,1.64544786709e-07,200.0,0.0,9.19162922884e-08,7.26284944206e-08
20,1.6792702301e-07,210.0,0.0,9.52739899707e-08,7.2653033039e-08
21,1.55489026797e-07,220.0,0.0,8.87910868089e-08,6.6697939988e-08
22,1.48294263822e-07,230.0,0.0,8.44029530005e-08,6.38913108218e-08
23,1.79047562313e-07,240.0,0.0,1.01298994539e-07,7.77485677738e-08
24,2.54894315398e-07,250.0,0.0,1.45425001152e-07,1.09469314247e-07
25,1.44373711196e-07,260.0,0.0,8.10029346737e-08,6.33707765225e-08
26,1.44457904671e-07,270.0,0.0,7.96152067133e-08,6.48426979576e-08
27,1.45235634533e-07,280.0,0.0,8.07218597652e-08,6.45137747674e-08
28,1.51723444798e-07,290.0,0.0,8.20130660785e-08,6.97103787194e-08
29,1.58760191666e-07,300.0,0.0,8.67832485072e-08,7.19769431588e-08
