,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,3.36303083364e-10,10.0,5.86425425189e-11,9.95444531164e-14,2.77560996392e-10
1,3.3087429181e-10,20.0,1.04694578435e-11,8.94657189729e-14,3.20315368247e-10
2,1.08303956552e-08,30.0,3.16276523685e-09,6.97211824896e-11,7.59790923586e-09
3,2.00099419945e-06,40.0,1.74748804469e-06,7.59179424688e-08,1.77588212287e-07
4,1.39674993889e-06,50.0,1.16284586067e-06,8.59048029324e-08,1.47999275289e-07
5,9.01495113324e-07,60.0,6.89091611498e-07,7.88090029406e-08,1.33594498886e-07
6,6.87772345737e-07,70.0,4.81381037742e-07,7.98469294025e-08,1.26544378593e-07
7,5.20289037749e-07,80.0,3.2745230316e-07,7.50761360783e-08,1.17760598511e-07
8,4.3203769547e-07,90.0,2.4516730973e-07,7.48764473983e-08,1.11993938342e-07
9,4.49186801342e-07,100.0,2.40225371449e-07,9.49055559689e-08,1.14055873924e-07
10,4.59234103468e-07,110.0,2.2692354543e-07,1.13235659985e-07,1.19074898053e-07
11,4.65666528816e-07,120.0,2.13756730868e-07,1.32087455341e-07,1.19822342607e-07
12,4.53504694836e-07,130.0,1.8353571998e-07,1.38119781311e-07,1.31849193545e-07
13,4.13647060693e-07,140.0,1.50896553374e-07,1.36337792879e-07,1.2641271444e-07
14,3.61859220426e-07,150.0,1.15898901447e-07,1.2418356752e-07,1.21776751458e-07
15,3.12366722413e-07,160.0,8.7838930656e-08,1.10419086156e-07,1.14108705601e-07
16,2.97978183222e-07,170.0,7.3548526427e-08,1.07444571861e-07,1.16985084934e-07
17,3.05562496747e-07,180.0,6.67646762113e-08,1.12396907328e-07,1.26400913208e-07
18,3.2004825399e-07,190.0,6.05107879407e-08,1.16511799403e-07,1.43025666646e-07
19,3.16912488691e-07,200.0,5.31170361776e-08,1.16188327938e-07,1.47607124575e-07
20,3.00923505589e-07,210.0,4.60553332139e-08,1.1374815411e-07,1.41120018265e-07
21,2.85667636673e-07,220.0,3.96781768856e-08,1.1003716081e-07,1.35952298978e-07
22,2.70684987131e-07,230.0,3.34055011848e-08,1.03496972474e-07,1.33782513472e-07
23,2.72220648739e-07,240.0,3.06309241003e-08,1.05529805828e-07,1.3605991881e-07
24,2.81292597689e-07,250.0,2.89829728396e-08,1.10562813131e-07,1.41746811719e-07
25,2.87514669906e-07,260.0,2.65377627578e-08,1.11653092822e-07,1.49323814326e-07
26,2.83840180039e-07,270.0,2.38892585932e-08,1.10450079138e-07,1.49500842308e-07
27,2.79259818911e-07,280.0,2.11208115089e-08,1.06945167119e-07,1.51193840282e-07
28,2.87975545345e-07,290.0,2.00762750968e-08,1.10982129254e-07,1.56917140994e-07
29,2.87521814586e-07,300.0,1.77579519573e-08,1.06857720893e-07,1.62906141735e-07
