,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,inf,10.0,inf,inf,inf
1,9.36885297456e-10,20.0,7.09721650471e-11,6.06485633535e-13,8.65306646775e-10
2,2.56222150877e-06,30.0,2.38121153666e-06,5.2492319746e-08,1.2851765236e-07
3,1.45863157268e-06,40.0,1.30614020526e-06,5.67440087845e-08,9.57473586378e-08
4,6.62763902838e-07,50.0,5.53032871147e-07,4.08550964646e-08,6.88759352263e-08
5,3.57657894179e-07,60.0,2.66916869505e-07,3.05263509274e-08,6.02146737461e-08
6,1.96099618195e-07,70.0,1.26311582189e-07,2.0951369487e-08,4.88366665196e-08
7,6.86383876323e-08,80.0,2.10701872327e-08,4.83083560144e-09,4.27373647982e-08
8,inf,90.0,inf,inf,inf
9,5.70234017125e-11,100.0,4.17604665874e-14,1.6498258594e-14,5.69651429873e-11
10,7.79532399793e-11,110.0,4.43066778155e-14,2.21091905411e-14,7.78868241109e-11
11,1.48407190634e-08,120.0,1.35023853343e-09,8.34357689041e-10,1.2656122841e-08
12,8.7313189217e-08,130.0,2.24849614594e-08,1.6921054713e-08,4.79071730446e-08
13,1.42968758598e-07,140.0,4.12417428906e-08,3.72626681953e-08,6.44643475124e-08
14,1.29156516972e-07,150.0,3.54307902141e-08,3.79634480906e-08,5.57622786668e-08
15,1.11604183339e-07,160.0,2.78110520269e-08,3.49602497085e-08,4.88328816031e-08
16,1.05429378839e-07,170.0,2.30810855636e-08,3.37183826372e-08,4.86299106386e-08
17,1.12003164567e-07,180.0,2.19252323482e-08,3.69106606701e-08,5.31672715488e-08
18,1.25590065231e-07,190.0,2.19382807831e-08,4.22415350524e-08,6.14102493955e-08
19,1.39261189749e-07,200.0,2.09050156611e-08,4.57276796669e-08,7.26284944206e-08
20,1.39923861438e-07,210.0,1.93874393443e-08,4.78833890549e-08,7.2653033039e-08
21,1.27570293187e-07,220.0,1.61326423522e-08,4.47397108471e-08,6.6697939988e-08
22,1.19942315907e-07,230.0,1.3676976513e-08,4.23740285727e-08,6.38913108218e-08
23,1.42955215966e-07,240.0,1.46689863711e-08,5.05376618208e-08,7.77485677738e-08
24,2.00475109406e-07,250.0,1.89014556836e-08,7.21043394762e-08,1.09469314247e-07
25,1.13387091947e-07,260.0,9.60498512854e-09,4.04113302956e-08,6.33707765225e-08
26,1.13304834166e-07,270.0,8.6179113536e-09,3.98442248551e-08,6.48426979576e-08
27,1.13153528041e-07,280.0,8.02173279538e-09,4.06180204783e-08,6.45137747674e-08
28,1.1831726605e-07,290.0,7.44588068566e-09,4.11610066451e-08,6.97103787194e-08
29,1.2297126126e-07,300.0,7.26677977362e-09,4.3727538328e-08,7.19769431588e-08
30,1.38229089992e-07,310.0,7.46246387864e-09,4.87466589212e-08,8.20199671916e-08
31,1.42141556131e-07,320.0,6.96763885989e-09,4.92809652648e-08,8.5892952006e-08
32,1.33396747591e-07,330.0,6.032791799e-09,4.6088472954e-08,8.1275482838e-08
33,1.27834172559e-07,340.0,5.32465142679e-09,4.38386384562e-08,7.86708826763e-08
34,1.24309734032e-07,350.0,4.81728621704e-09,4.26509197642e-08,7.68415280513e-08
35,1.24763607447e-07,360.0,4.35381635286e-09,4.13691186056e-08,7.90406724881e-08
36,1.22923485128e-07,370.0,3.9806705284e-09,4.05144984303e-08,7.84283161697e-08
37,1.25264429611e-07,380.0,3.63261074633e-09,3.95305604085e-08,8.21012584563e-08
38,1.19205635761e-07,390.0,3.1930000916e-09,3.7087304261e-08,7.89253314081e-08
39,1.14270268127e-07,400.0,2.72435123129e-09,3.37203066026e-08,7.78256102929e-08
40,1.13197297663e-07,410.0,2.50216736137e-09,3.29512164852e-08,7.7743913816e-08
41,1.06319299572e-07,420.0,2.11957844574e-09,2.96543307774e-08,7.45453903493e-08
42,9.97005298681e-08,430.0,1.78029045801e-09,2.6424080698e-08,7.14961587121e-08
43,8.85939738826e-08,440.0,1.41451237676e-09,2.22433894796e-08,6.49360720262e-08
44,8.37840779051e-08,450.0,1.1709841442e-09,1.94836940656e-08,6.31293996953e-08
45,8.07266471591e-08,460.0,9.75746909448e-10,1.7157294207e-08,6.25936060426e-08
46,7.59732994829e-08,470.0,7.72072397412e-10,1.43300938641e-08,6.08711332214e-08
47,6.67270218818e-08,480.0,5.47819504657e-10,1.07205569097e-08,5.54586454674e-08
48,5.55714501121e-08,490.0,3.53441130155e-10,7.28476108484e-09,4.79332478971e-08
49,4.40419845617e-08,500.0,2.02453368323e-10,4.39025746417e-09,3.94492737293e-08
50,3.18434266924e-08,510.0,8.92021000568e-11,2.03316656305e-09,2.97210580293e-08
51,1.57181497612e-08,520.0,2.20377250764e-11,5.27448913201e-10,1.51686631229e-08
52,6.11194741267e-09,530.0,3.55059111436e-12,8.91515102667e-11,6.01924531129e-09
53,2.08664713879e-09,540.0,4.1369762324e-13,1.08877717881e-11,2.07534566938e-09
54,5.88428288923e-10,550.0,3.41439132637e-14,9.41076310118e-13,5.87453068699e-10
55,1.70350211681e-10,560.0,3.23376515097e-15,9.32645363926e-14,1.70253713379e-10
56,inf,570.0,inf,inf,inf
57,inf,580.0,inf,inf,inf
58,inf,590.0,inf,inf,inf
59,inf,600.0,inf,inf,inf
60,inf,610.0,inf,inf,inf
61,6.4532942149e-11,620.0,7.30649855638e-16,2.72282634896e-14,6.45049832357e-11
62,7.21687124174e-11,630.0,9.28847287291e-16,3.60377675138e-14,7.21317458026e-11
63,5.37557432468e-11,640.0,4.79950533406e-16,1.93748716965e-14,5.37358884246e-11
64,inf,650.0,inf,inf,inf
65,5.10410960588e-11,660.0,4.24164608747e-16,1.85031390562e-14,5.10221687551e-11
66,inf,670.0,inf,inf,inf
67,5.2749361144e-11,680.0,4.23231576924e-16,1.99047948506e-14,5.27290331176e-11
68,5.72567770422e-11,690.0,4.1895886878e-16,2.04422449979e-14,5.72359158383e-11
69,inf,700.0,inf,inf,inf
70,inf,710.0,inf,inf,inf
71,6.32569666273e-11,720.0,4.71868213755e-16,2.56308838582e-14,6.32308638752e-11
72,inf,730.0,inf,inf,inf
73,inf,740.0,inf,inf,inf
74,inf,750.0,inf,inf,inf
75,7.07841317872e-11,760.0,3.51532434102e-16,2.18828371578e-14,7.07618974177e-11
76,inf,770.0,inf,inf,inf
77,inf,780.0,inf,inf,inf
78,inf,790.0,inf,inf,inf
79,inf,800.0,inf,inf,inf
80,inf,810.0,inf,inf,inf
81,inf,820.0,inf,inf,inf
82,inf,830.0,inf,inf,inf
83,inf,840.0,inf,inf,inf
84,inf,850.0,inf,inf,inf
85,inf,860.0,inf,inf,inf
86,inf,870.0,inf,inf,inf
87,inf,880.0,inf,inf,inf
88,inf,890.0,inf,inf,inf
89,inf,900.0,inf,inf,inf
90,inf,910.0,inf,inf,inf
91,inf,920.0,inf,inf,inf
92,inf,930.0,inf,inf,inf
93,inf,940.0,inf,inf,inf
94,inf,950.0,inf,inf,inf
95,inf,960.0,inf,inf,inf
96,inf,970.0,inf,inf,inf
97,inf,980.0,inf,inf,inf
98,inf,990.0,inf,inf,inf
99,inf,1000.0,inf,inf,inf
