,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,2.56910071257e-08,170,0.0,3.05408506751e-10,2.53855986189e-08
1,1.48211236178e-07,180,0.0,5.80605478689e-09,1.42405181391e-07
2,7.66092357021e-07,190,0.0,9.05067832318e-08,6.75585573789e-07
3,1.53702570128e-06,200,0.0,4.60130614345e-07,1.07689508694e-06
4,1.66257455525e-06,210,0.0,8.14106326291e-07,8.48468228961e-07
5,2.38386210307e-06,220,0.0,1.36169903469e-06,1.02216306839e-06
6,3.12738342137e-06,230,0.0,1.85558618111e-06,1.27179724026e-06
7,2.91193133325e-06,240,0.0,1.81084437995e-06,1.1010869533e-06
8,2.30505413599e-06,250,0.0,1.48689783667e-06,8.18156299316e-07
9,1.85131845133e-06,260,0.0,1.24819123793e-06,6.03127213396e-07
10,1.74655042835e-06,270,0.0,1.24131250239e-06,5.05237925957e-07
11,1.69816986414e-06,280,0.0,1.19641301719e-06,5.01756846949e-07
12,1.47394449562e-06,290,0.0,9.7203326936e-07,5.01911226263e-07
13,1.29265053298e-06,300,0.0,8.23912571667e-07,4.68737961314e-07
14,1.2381724303e-06,310,0.0,7.66092357021e-07,4.72080073277e-07
15,1.19338652457e-06,320,0.0,7.30266081592e-07,4.63120442981e-07
16,1.04251216059e-06,330,0.0,6.44586387249e-07,3.9792577334e-07
17,8.55226460922e-07,340,0.0,5.26842897493e-07,3.28383563429e-07
18,7.09383576552e-07,350,0.0,4.43895895771e-07,2.65487680781e-07
19,5.90583255651e-07,360,0.0,3.69897273016e-07,2.20685982635e-07
20,5.06035668418e-07,370,0.0,3.15995668505e-07,1.90039999913e-07
21,4.43487240764e-07,380,0.0,2.73703990679e-07,1.69783250084e-07
22,4.02143570524e-07,390,0.0,2.47560373693e-07,1.54583196832e-07
23,3.29747209949e-07,400,0.0,1.99471626798e-07,1.30275583151e-07
24,2.78023258834e-07,410,0.0,1.66219177738e-07,1.11804081095e-07
25,2.56791787035e-07,420,0.0,1.5180327097e-07,1.04988516065e-07
26,2.57739587781e-07,430,0.0,1.53137350745e-07,1.04602237036e-07
27,2.63318352745e-07,440,0.0,1.54056891146e-07,1.092614616e-07
28,2.55788567415e-07,450,0.0,1.50273059855e-07,1.0551550756e-07
29,2.27499857828e-07,460,0.0,1.33684522631e-07,9.38153351969e-08
30,2.00808054973e-07,470,0.0,1.18380761578e-07,8.24272933946e-08
31,1.77820214419e-07,480,0.0,1.05506964814e-07,7.23132496048e-08
32,1.63863086004e-07,490,0.0,9.92844260583e-08,6.45786599453e-08
33,1.53808780782e-07,500,0.0,9.34288771849e-08,6.03799035969e-08
34,1.38797335681e-07,510,0.0,8.47385697599e-08,5.40587659207e-08
35,1.17133502482e-07,520,0.0,7.16607137679e-08,4.54727887138e-08
36,9.83288884142e-08,530,0.0,6.04339706866e-08,3.78949177276e-08
