,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,1.73053795778e-08,170,0.0,6.41034095618e-11,1.72412761682e-08
1,1.07666632449e-07,180,0.0,1.64316482545e-09,1.06023467624e-07
2,1.44770851763e-06,190,0.0,9.955913842e-08,1.34814937921e-06
3,1.35981907687e-05,200,0.0,3.62644528734e-06,9.9717454814e-06
4,3.1972833759e-06,210,0.0,1.71506715376e-06,1.48221622214e-06
5,2.75030671761e-06,220,0.0,1.67679947601e-06,1.0735072416e-06
6,2.69575940831e-06,230,0.0,1.55482362009e-06,1.14093578822e-06
7,2.15318392867e-06,240,0.0,1.15846023149e-06,9.9472369718e-07
8,1.74735492978e-06,250,0.0,9.0799013396e-07,8.39364795817e-07
9,1.45673692781e-06,260,0.0,7.43842741698e-07,7.12894186109e-07
10,1.31911035509e-06,270,0.0,6.92597834904e-07,6.26512520187e-07
11,1.21417456144e-06,280,0.0,6.41624781819e-07,5.7254977962e-07
12,1.16595322924e-06,290,0.0,6.1500851616e-07,5.50944713076e-07
13,1.11219548981e-06,300,0.0,5.97697073752e-07,5.14498416062e-07
14,1.1209368063e-06,310,0.0,5.95773428247e-07,5.25163378051e-07
15,1.13862608674e-06,320,0.0,6.08809091989e-07,5.29816994755e-07
16,1.07741031618e-06,330,0.0,5.77937838831e-07,4.99472477347e-07
17,9.81027382465e-07,340,0.0,5.35403405926e-07,4.45623976539e-07
18,8.481665282e-07,350,0.0,4.59707013493e-07,3.88459514707e-07
19,7.6292374085e-07,360,0.0,4.19257779234e-07,3.43665961617e-07
20,7.08893720947e-07,370,0.0,3.88938674317e-07,3.1995504663e-07
21,6.6877669322e-07,380,0.0,3.65158260518e-07,3.03618432702e-07
22,6.03644335431e-07,390,0.0,3.29975069943e-07,2.73669265488e-07
23,4.97715458411e-07,400,0.0,2.67843511205e-07,2.29871947206e-07
24,4.23234565843e-07,410,0.0,2.29869382718e-07,1.93365183125e-07
25,3.81576069001e-07,420,0.0,2.05816945964e-07,1.75759123037e-07
26,3.66506034433e-07,430,0.0,1.97369994761e-07,1.69136039672e-07
27,3.31727235592e-07,440,0.0,1.78107057847e-07,1.53620177745e-07
28,2.92402532406e-07,450,0.0,1.59104011467e-07,1.33298520939e-07
29,2.4625277294e-07,460,0.0,1.33377056761e-07,1.12875716179e-07
30,2.06101489093e-07,470,0.0,1.13574577418e-07,9.25269116757e-08
31,1.78148073235e-07,480,0.0,9.82836167127e-08,7.98644565222e-08
32,1.544831547e-07,490,0.0,8.62742374891e-08,6.82089172113e-08
33,1.43113673526e-07,500,0.0,7.933797831e-08,6.3775695216e-08
34,1.31033134349e-07,510,0.0,7.39743451986e-08,5.70587891502e-08
35,1.12145313565e-07,520,0.0,6.34572327754e-08,4.86880807901e-08
36,9.74722810567e-08,530,0.0,5.53453488978e-08,4.21269321588e-08
37,8.73737809751e-08,540,0.0,4.97142772041e-08,3.76595037709e-08
38,8.20693756664e-08,550,0.0,4.61191324958e-08,3.59502431706e-08
39,7.58020811878e-08,560,0.0,4.27839747812e-08,3.30181064066e-08
40,6.57175144929e-08,570,0.0,3.76427314678e-08,2.80747830251e-08
41,6.14725359476e-08,580,0.0,3.44097192798e-08,2.70628166677e-08
42,5.4800072063e-08,590,0.0,3.0979979753e-08,2.382009231e-08
43,5.04871818677e-08,600,0.0,2.85680850148e-08,2.19190968529e-08
44,4.87619572727e-08,610,0.0,2.75982236396e-08,2.11637336331e-08
45,4.54863542757e-08,620,0.0,2.56496314684e-08,1.98367228073e-08
46,3.88222882273e-08,630,0.0,2.20435293363e-08,1.6778758891e-08
47,3.32262347857e-08,640,0.0,1.8796679206e-08,1.44295555797e-08
48,2.9948917507e-08,650,0.0,1.693874108e-08,1.3010176427e-08
49,2.79370876005e-08,660,0.0,1.59985686642e-08,1.19385189363e-08
50,2.65326806345e-08,670,0.0,1.53066844625e-08,1.1225996172e-08
51,2.45856180067e-08,680,0.0,1.42587393307e-08,1.0326878676e-08
52,2.20790879569e-08,690,0.0,1.27374100353e-08,9.34167792168e-09
53,1.99425702046e-08,700,0.0,1.15260667299e-08,8.41650347472e-09
54,1.73372866435e-08,710,0.0,1.01410080997e-08,7.1962785438e-09
55,1.40501554602e-08,720,0.0,8.20504806698e-09,5.84510739324e-09
56,1.24962909874e-08,730,0.0,7.36683816887e-09,5.12945281852e-09
57,1.19668853319e-08,740,0.0,6.96435867092e-09,5.00252666099e-09
58,1.19558684974e-08,750,0.0,6.99972744146e-09,4.95614105596e-09
59,1.13574577418e-08,760,0.0,6.70009760764e-09,4.65736013411e-09
60,1.01200143794e-08,770,0.0,5.93036097992e-09,4.18965339952e-09
61,8.56014516459e-09,780,0.0,5.05220692257e-09,3.50793824202e-09
62,7.27413119396e-09,790,0.0,4.34791584472e-09,2.92621534924e-09
63,6.17705018277e-09,800,0.0,3.4936639583e-09,2.68338622447e-09
64,6.17562802814e-09,810,0.0,3.48241984943e-09,2.69320817871e-09
65,5.89903712802e-09,820,0.0,3.36884577544e-09,2.53019135259e-09
66,5.27085573488e-09,830,0.0,2.97222121394e-09,2.29863452094e-09
67,4.6289355028e-09,840,0.0,2.6319711808e-09,1.996964322e-09
68,4.12174509312e-09,850,0.0,2.35548926653e-09,1.7662558266e-09
69,4.03627854663e-09,860,0.0,2.25881742641e-09,1.77746112022e-09
70,4.13695816953e-09,870,0.0,2.31782759776e-09,1.81913057177e-09
71,3.89386714376e-09,880,0.0,2.17611142751e-09,1.71775571626e-09
72,3.3711736956e-09,890,0.0,1.87361834314e-09,1.49755535246e-09
73,2.69141785732e-09,900,0.0,1.49720452009e-09,1.19421333723e-09
74,2.26402453835e-09,910,0.0,1.24876618361e-09,1.01525835474e-09
75,2.12315220749e-09,920,0.0,1.177283696e-09,9.45868511493e-10
76,2.20536830946e-09,930,0.0,1.23276736723e-09,9.72600942222e-10
77,2.29710649404e-09,940,0.0,1.28611892722e-09,1.01098756682e-09
78,2.10514070859e-09,950,0.0,1.19091599871e-09,9.14224709889e-10
79,1.74534437066e-09,960,0.0,9.91930238213e-10,7.5341413245e-10
80,1.46177701783e-09,970,0.0,8.35374337265e-10,6.2640268056e-10
81,1.32611482319e-09,980,0.0,7.54885580231e-10,5.71229242962e-10
82,1.31880665367e-09,990,0.0,7.48309277452e-10,5.70497376222e-10
83,1.36326765143e-09,1000,0.0,7.82854639271e-10,5.80413012158e-10
84,1.31002966328e-09,1010,0.0,7.48998813261e-10,5.61030850019e-10
85,1.12637014196e-09,1020,0.0,6.47561662829e-10,4.78808479135e-10
86,9.45107325949e-10,1030,0.0,5.43602104749e-10,4.015052212e-10
87,8.53455987525e-10,1040,0.0,4.90095967983e-10,3.63360019542e-10
88,8.47971253122e-10,1050,0.0,4.85826420968e-10,3.62144832154e-10
89,9.09664255046e-10,1060,0.0,5.18896963867e-10,3.9076729118e-10
90,9.18292695132e-10,1070,0.0,5.21532202589e-10,3.96760492542e-10
91,8.24481906928e-10,1080,0.0,4.7193385093e-10,3.52548055997e-10
92,7.21906794881e-10,1090,0.0,4.1503156652e-10,3.06875228361e-10
