,frequency_MHz,combined_power_W_per_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,150.0,5.240241271492084e-09,5.154141935063108e-14,5.522569455011229e-14,5.2401345043781826e-09
1,160.0,1.6075861964920137e-08,7.296062157819795e-13,9.171611152261364e-13,1.607421519758913e-08
2,170.0,5.374480293453626e-08,6.684134695950919e-12,9.76462786620424e-12,5.372835417197413e-08
3,180.0,1.5310367968920204e-07,1.0913863293482909e-10,1.8373255901150883e-10,1.5281080849725566e-07
4,190.0,3.264260236928658e-07,1.1705549561745052e-09,2.253870241742885e-09,3.2300159849494834e-07
5,200.0,5.437030521063724e-07,8.965647626509924e-09,1.9611478380017463e-08,5.151259260998449e-07
6,210.0,5.45757218946968e-07,2.2676175971788112e-08,5.600596020200042e-08,4.670750827731795e-07
7,220.0,5.445692857880045e-07,4.28447152901708e-08,1.1881873604804365e-07,3.829058344497902e-07
8,230.0,5.863087632769894e-07,5.7321945519242884e-08,1.7759493517971773e-07,3.5139188257802907e-07
9,240.0,6.281688147805459e-07,6.915815900724675e-08,2.382640193145639e-07,3.2074663645873545e-07
10,250.0,6.62705732487145e-07,7.494829884349175e-08,2.859090682451159e-07,3.018483653985376e-07
11,260.0,6.778058773510164e-07,7.552290616402134e-08,3.17749696124556e-07,2.84533275062439e-07
12,270.0,6.691566333276896e-07,7.146493279440559e-08,3.3041240907275733e-07,2.6727929146052675e-07
13,280.0,6.484736143700212e-07,6.547062750915394e-08,3.3151033034033203e-07,2.5149265652053535e-07
14,290.0,6.355357791593809e-07,6.109836147673266e-08,3.377532046129208e-07,2.3668421306972726e-07
15,300.0,6.194836314877061e-07,5.653428547920524e-08,3.4019265921785713e-07,2.2275668679064365e-07
16,310.0,5.938164987256017e-07,5.111642327052712e-08,3.339051137756317e-07,2.0879496167944272e-07
17,320.0,5.65887723816163e-07,4.585619764298461e-08,3.243333543344891e-07,1.9569817183868946e-07
18,330.0,5.365370028895212e-07,4.082947122413657e-08,3.1192324266025515e-07,1.8378428900512962e-07
19,340.0,5.077144642319269e-07,3.62868484774655e-08,2.98754961332658e-07,1.7267265442180355e-07
20,350.0,4.774195840666084e-07,3.198746185440256e-08,2.832081399243015e-07,1.6222398228790443e-07
21,360.0,4.5022654023248325e-07,2.8336414436276783e-08,2.692471144081926e-07,1.5264301138801384e-07
22,370.0,4.260100166465493e-07,2.5236493508602442e-08,2.5685217335779516e-07,1.439213497801518e-07
23,380.0,4.0359423623456247e-07,2.25464629383022e-08,2.4535365262574286e-07,1.3569412067051743e-07
24,390.0,3.817862825462126e-07,2.011356135874003e-08,2.3362284637813575e-07,1.280498748093368e-07
25,400.0,3.600490387398882e-07,1.7870937708505372e-08,2.2119523058749806e-07,1.2098287044388489e-07
26,410.0,3.409711716085022e-07,1.5994669542628664e-08,2.1063491868920683e-07,1.1434158337666678e-07
27,420.0,3.2216970150560276e-07,1.4282183671922589e-08,1.998173739132794e-07,1.0807014392040084e-07
28,430.0,3.0405847990726903e-07,1.2745136822956798e-08,1.8917054933511193e-07,1.0214279374920025e-07
29,440.0,2.869523600551726e-07,1.1377163589053342e-08,1.7890736414964144e-07,9.666783231647782e-08
30,450.0,2.717018409740189e-07,1.0214204599141898e-08,1.699514365916101e-07,9.153619978326698e-08
31,460.0,2.5723054475123267e-07,9.17751827833004e-09,1.6137522923939614e-07,8.667779723350652e-08
32,470.0,2.4272461319668354e-07,8.212779864049971e-09,1.5243377011196962e-07,8.207806322066405e-08
33,480.0,2.277204321019092e-07,7.286450700359265e-09,1.4259223839042774e-07,7.784174301112219e-08
34,490.0,2.1506737949672527e-07,6.5299275845247325e-09,1.345880778889957e-07,7.394937402320487e-08
35,500.0,2.0410795370230612e-07,5.900247958216744e-09,1.2794851403812698e-07,7.025919170596244e-08
36,510.0,1.9285622372894962e-07,5.300023837905732e-09,1.2080243899781262e-07,6.675376089323127e-08
37,520.0,1.816798883507978e-07,4.743681461218587e-09,1.1353484185041937e-07,6.340136503915987e-08
38,530.0,1.7124266317217868e-07,4.250836675954553e-09,1.0673392045223832e-07,6.025790604398577e-08
39,540.0,1.612098703458926e-07,3.804772299758457e-09,1.0013471235631259e-07,5.7270385689821584e-08
40,550.0,1.5152569321933826e-07,3.3994268794703623e-09,9.369518014934068e-08,5.443108619052721e-08
41,560.0,1.4203116135144126e-07,3.025587828269594e-09,8.726052540768735e-08,5.174504811548433e-08
42,570.0,1.3420710367306573e-07,2.723452689444724e-09,8.212549148573518e-08,4.9358159497885826e-08
43,580.0,1.2688272018828574e-07,2.4550865209002085e-09,7.734648461984675e-08,4.7081149047538786e-08
44,590.0,1.197703152211579e-07,2.208949353060955e-09,7.265275258811576e-08,4.490861327998119e-08
45,600.0,1.1289045634402033e-07,1.983298893755103e-09,6.80510321934584e-08,4.2856125256806824e-08
46,610.0,1.0667270964496173e-07,1.7901124326131897e-09,6.40331762118569e-08,4.084942100049165e-08
47,620.0,1.0056343201277893e-07,1.6110212526171485e-09,6.003602247388551e-08,3.891638828627625e-08
48,630.0,9.480815359583133e-08,1.450697530096559e-09,5.628471013247768e-08,3.70727459332571e-08
49,640.0,8.98582203574072e-08,1.3183884958824028e-09,5.322133465002567e-08,3.531849721149912e-08
50,650.0,8.558595526759205e-08,1.2072663024554525e-09,5.067672653127976e-08,3.370196243385683e-08
51,660.0,8.153472000322772e-08,1.1065474678448692e-09,4.827041494657839e-08,3.2157757588804466e-08
52,670.0,7.740282057574703e-08,1.0089179111641747e-09,4.5711178393802255e-08,3.06827242707806e-08
53,680.0,7.369038483596199e-08,9.24635157929132e-10,4.348605854031493e-08,2.927969113771793e-08
54,690.0,7.011356389026198e-08,8.469245398620163e-10,4.132395857615901e-08,2.7942680774240932e-08
55,700.0,6.662417102351328e-08,7.744738384163748e-10,3.9184359239015824e-08,2.6665337946081085e-08
56,710.0,6.35214296879924e-08,7.110229088528209e-10,3.7283449102681494e-08,2.552695767645812e-08
57,720.0,6.068654258071697e-08,6.54907202643224e-10,3.557317479647965e-08,2.445846058159407e-08
58,730.0,5.79707903514021e-08,6.027414901271086e-10,3.389800418732269e-08,2.3470044673952305e-08
59,740.0,5.526252685004537e-08,5.52998094392964e-10,3.21856555677504e-08,2.252387318790201e-08
60,750.0,5.263188279552773e-08,5.067716469885621e-10,3.0510384443657974e-08,2.1614726704881192e-08
61,760.0,5.02404836591065e-08,4.664122567531797e-10,2.9034087534571968e-08,2.0739983867781334e-08
62,770.0,4.792079303966745e-08,4.2889085678592744e-10,2.7593012802216684e-08,1.989888938066484e-08
63,780.0,4.5758324861335154e-08,3.9528555598543483e-10,2.627202118453894e-08,1.9091018120810762e-08
64,790.0,4.383578991878415e-08,3.6650210975530603e-10,2.5154169727267166e-08,1.831511808176167e-08
65,800.0,4.207413767332511e-08,3.4087933905550586e-10,2.4149625719996247e-08,1.7583632614273355e-08
66,810.0,4.0369964800175096e-08,3.165935644339139e-10,2.314289025277096e-08,1.691048098297023e-08
67,820.0,3.866801633696293e-08,2.9355258525012134e-10,2.2133033700814303e-08,1.6241430050898525e-08
68,830.0,3.716321088117405e-08,2.7391791398486336e-10,2.1293778914447016e-08,1.5595514052742174e-08
69,840.0,3.565806790687758e-08,2.549351346187119e-10,2.04258850228692e-08,1.497724774938966e-08
70,850.0,3.418185563018661e-08,2.36950300685513e-10,1.9560172779395655e-08,1.4384732550105438e-08
71,860.0,3.284591860884598e-08,2.2123243183992548e-10,1.880950637339556e-08,1.3815179803610492e-08
72,870.0,3.1501303368433034e-08,2.0594174645286942e-10,1.8027628766069116e-08,1.3267732855911044e-08
73,880.0,3.022397045345213e-08,1.9180095996651757e-10,1.7280901203826196e-08,1.2751268289659419e-08
