,frequency_MHz,combined_power_W_per_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
74,890.0,2.9007509158246205e-08,1.7851494938405114e-10,1.654895707147596e-08,1.2280037137386196e-08
75,900.0,2.788278982786038e-08,1.666455629741379e-10,1.589031070922375e-08,1.18258335556625e-08
76,910.0,2.682345878714585e-08,1.5572829303474764e-10,1.526911816162017e-08,1.1398612332490944e-08
77,920.0,2.5686421725108187e-08,1.4458117408325852e-10,1.4572501708149669e-08,1.0969338842875267e-08
78,930.0,2.4599802572463785e-08,1.3426841850945733e-10,1.390731055995315e-08,1.0558223594001172e-08
79,940.0,2.3596707429767787e-08,1.25075146211175e-10,1.3309475328536521e-08,1.016215695502009e-08
80,950.0,2.2612837550124893e-08,1.1634812414192371e-10,1.2715877238506545e-08,9.780612187476435e-09
81,960.0,2.1628980656093657e-08,1.0782722014885025e-10,1.2100166345714683e-08,9.420987090230121e-09
82,970.0,2.0746942073976706e-08,1.0033235877862377e-10,1.1557433693024804e-08,9.089176022173279e-09
83,980.0,1.9913393024951646e-08,9.348580716107558e-11,1.1051148479711096e-08,8.768758738079471e-09
84,990.0,1.9067808373223665e-08,8.675213939129174e-11,1.05213024686471e-08,8.459753765185275e-09
85,1000.0,1.8230074596144973e-08,8.028658195919135e-11,9.987306463693056e-09,8.162481550492741e-09
86,1010.0,1.7476712482600578e-08,7.465617579840713e-11,9.523091733991108e-09,7.87896457281106e-09
87,1020.0,1.6756090392177032e-08,6.943361260123954e-11,9.07991287808593e-09,7.60674390148986e-09
88,1030.0,1.6000311008409496e-08,6.41082974023834e-11,8.592525064778658e-09,7.343677646228455e-09
89,1040.0,1.5306356066448943e-08,5.933667277740827e-11,8.149320093788286e-09,7.097699299883253e-09
90,1050.0,1.4712269141465596e-08,5.533664794938278e-11,7.785770492618295e-09,6.871162000897917e-09
91,1060.0,1.4127123936118058e-08,5.151769141066139e-11,7.42397595729341e-09,6.651630287413989e-09
92,1070.0,1.3501761984974085e-08,4.754153317927125e-11,7.0153196906012385e-09,6.438900761193573e-09
93,1080.0,1.2939756814193702e-08,4.411376811477485e-11,6.66418538590477e-09,6.231457660174156e-09
94,1090.0,1.2437488392423788e-08,4.117806950021671e-11,6.367131087216358e-09,6.029179235707215e-09
95,1100.0,1.1925555896394594e-08,3.8260488998450545e-11,6.053982922283561e-09,5.833312485112581e-09
96,1110.0,1.1401097931938657e-08,3.53460880236409e-11,5.72208793190316e-09,5.643663912011852e-09
97,1120.0,1.0995912180684782e-08,3.304217971689352e-11,5.47161594336865e-09,5.491254057599239e-09
98,1130.0,1.0637501427458468e-08,3.107483846943521e-11,5.262624238807644e-09,5.343802350181388e-09
99,1140.0,1.025821831219758e-08,2.9041979211501e-11,5.0289880995686165e-09,5.200188233417465e-09
100,1150.0,9.861285943436288e-09,2.6968148091360136e-11,4.773998525805114e-09,5.060319269539811e-09
101,1160.0,9.511480576778682e-09,2.521837262207053e-11,4.562913833285912e-09,4.9233483708707e-09
102,1170.0,9.180778014015662e-09,2.362354664197689e-11,4.3680044727731975e-09,4.789149994600487e-09
103,1180.0,8.833036882834208e-09,2.1980691829130354e-11,4.152524347560477e-09,4.658531843444598e-09
104,1190.0,8.479298333974101e-09,2.0351471657910248e-11,3.927542920141306e-09,4.531403942174888e-09
105,1200.0,8.180339154927857e-09,1.9017493231060664e-11,3.748481974577147e-09,4.41283968711965e-09
