,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,inf,10.0,,inf,inf
1,8.67323531745e-10,20.0,0.0,2.01688497001e-12,8.65306646775e-10
2,3.14761154512e-07,30.0,0.0,1.86243502152e-07,1.2851765236e-07
3,2.90858077751e-07,40.0,0.0,1.95110719114e-07,9.57473586378e-08
4,2.07769181832e-07,50.0,0.0,1.38893246606e-07,6.88759352263e-08
5,1.72179376017e-07,60.0,0.0,1.11964702271e-07,6.02146737461e-08
6,1.23049861606e-07,70.0,0.0,7.42131950866e-08,4.88366665196e-08
7,5.94129517622e-08,80.0,0.0,1.6675586964e-08,4.27373647982e-08
8,inf,90.0,,inf,inf
9,5.70139498767e-11,100.0,0.0,4.88068893839e-14,5.69651429873e-11
10,7.79437200316e-11,110.0,0.0,5.68959206925e-14,7.78868241109e-11
11,1.46009505324e-08,120.0,0.0,1.94482769146e-09,1.2656122841e-08
12,8.60559948425e-08,130.0,0.0,3.81488217979e-08,4.79071730446e-08
13,1.50619475035e-07,140.0,0.0,8.61551275224e-08,6.44643475124e-08
14,1.42554565126e-07,150.0,0.0,8.67922864594e-08,5.57622786668e-08
15,1.30281013848e-07,160.0,0.0,8.14481322449e-08,4.88328816031e-08
16,1.30341024289e-07,170.0,0.0,8.17111136503e-08,4.86299106386e-08
17,1.42063048409e-07,180.0,0.0,8.88957768604e-08,5.31672715488e-08
18,1.63147765349e-07,190.0,0.0,1.01737515953e-07,6.14102493955e-08
19,1.85473184883e-07,200.0,0.0,1.12844690462e-07,7.26284944206e-08
20,1.8796679206e-07,210.0,0.0,1.15313759021e-07,7.2653033039e-08
21,1.72496834449e-07,220.0,0.0,1.05798894461e-07,6.6697939988e-08
22,1.66334037545e-07,230.0,0.0,1.02442726723e-07,6.38913108218e-08
23,1.9933388426e-07,240.0,0.0,1.21585316486e-07,7.77485677738e-08
24,2.80660393379e-07,250.0,0.0,1.71191079132e-07,1.09469314247e-07
25,1.60798180269e-07,260.0,0.0,9.74274037466e-08,6.33707765225e-08
26,1.60096239018e-07,270.0,0.0,9.52535410601e-08,6.48426979576e-08
27,1.5789963627e-07,280.0,0.0,9.33858615025e-08,6.45137747674e-08
28,1.64657353035e-07,290.0,0.0,9.49469743156e-08,6.97103787194e-08
29,1.72735312329e-07,300.0,0.0,1.00758369171e-07,7.19769431588e-08
30,1.91637779292e-07,310.0,0.0,1.096178121e-07,8.20199671916e-08
31,1.96780078548e-07,320.0,0.0,1.10887126542e-07,8.5892952006e-08
32,1.85815153984e-07,330.0,0.0,1.04539671146e-07,8.1275482838e-08
33,1.75784723256e-07,340.0,0.0,9.71138405797e-08,7.86708826763e-08
34,1.70012608032e-07,350.0,0.0,9.31710799811e-08,7.68415280513e-08
35,1.70090919762e-07,360.0,0.0,9.10502472742e-08,7.90406724881e-08
36,1.66104397246e-07,370.0,0.0,8.76760810767e-08,7.84283161697e-08
37,1.66334037545e-07,380.0,0.0,8.42327790889e-08,8.21012584563e-08
38,1.58372994936e-07,390.0,0.0,7.94476635281e-08,7.89253314081e-08
39,1.49651519067e-07,400.0,0.0,7.18259087739e-08,7.78256102929e-08
40,1.46717233582e-07,410.0,0.0,6.89733197659e-08,7.7743913816e-08
41,1.36672497176e-07,420.0,0.0,6.21271068264e-08,7.45453903493e-08
42,1.26409912173e-07,430.0,0.0,5.49137534609e-08,7.14961587121e-08
43,1.10276031707e-07,440.0,0.0,4.53399596809e-08,6.49360720262e-08
44,1.02655241633e-07,450.0,0.0,3.95258419381e-08,6.31293996953e-08
45,9.73377111029e-08,460.0,0.0,3.47441050603e-08,6.25936060426e-08
46,8.96770120556e-08,470.0,0.0,2.88058788342e-08,6.08711332214e-08
47,7.69805712585e-08,480.0,0.0,2.15219257911e-08,5.54586454674e-08
48,6.25577513576e-08,490.0,0.0,1.46245034605e-08,4.79332478971e-08
49,4.8237093261e-08,500.0,0.0,8.78781953173e-09,3.94492737293e-08
50,3.38050147362e-08,510.0,0.0,4.08395670697e-09,2.97210580293e-08
51,1.62286027512e-08,520.0,0.0,1.05993962836e-09,1.51686631229e-08
52,6.19842184458e-09,530.0,0.0,1.79176533285e-10,6.01924531129e-09
53,2.09739935247e-09,540.0,0.0,2.20536830946e-11,2.07534566938e-09
54,5.89360641536e-10,550.0,0.0,1.90757283676e-12,5.87453068699e-10
55,1.7044376918e-10,560.0,0.0,1.90055800844e-13,1.70253713379e-10
56,inf,570.0,,inf,inf
57,inf,580.0,,inf,inf
58,inf,590.0,,inf,inf
59,inf,600.0,,inf,inf
