,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,inf,10.0,inf,inf,inf
1,inf,20.0,inf,inf,inf
2,6.61830414565e-09,30.0,1.68266622679e-09,3.70933250754e-11,4.89854459378e-09
3,1.3425123988e-06,40.0,1.15395745709e-06,5.01325752157e-08,1.38422366488e-07
4,9.61913576033e-07,50.0,7.77232488022e-07,5.74177592874e-08,1.27263328723e-07
5,5.50069268428e-07,60.0,3.95891359007e-07,4.52767132201e-08,1.089011962e-07
6,2.60742853099e-07,70.0,1.53547650387e-07,2.54690306413e-08,8.1726172071e-08
7,2.79270146102e-08,80.0,4.82245734347e-09,1.10566168036e-09,2.19988955864e-08
8,inf,90.0,inf,inf,inf
9,inf,100.0,inf,inf,inf
10,3.92336633662e-10,110.0,3.26790322668e-13,1.63069538658e-13,3.91846773801e-10
11,4.81033277084e-09,120.0,9.30273174662e-11,5.74847004413e-11,4.65982075293e-09
12,5.83193006623e-09,130.0,1.27494704735e-10,9.59461228485e-11,5.60848923865e-09
13,9.91882679216e-10,140.0,3.95127275975e-12,3.57004712886e-12,9.84361359327e-10
14,6.96966126232e-09,150.0,1.86372074145e-10,1.99694291874e-10,6.5835948963e-09
15,2.20316149791e-08,160.0,1.18690898505e-09,1.49201959201e-09,1.93526864021e-08
16,5.40926776523e-08,170.0,3.83756929811e-09,5.60617608881e-09,4.46489322654e-08
17,9.6759205329e-08,180.0,8.19113727668e-09,1.37896047677e-08,7.47784632846e-08
18,1.40322702468e-07,190.0,1.26765942758e-08,2.44084213681e-08,1.03237686824e-07
19,1.75700354805e-07,200.0,1.5770682818e-08,3.44968281164e-08,1.2543284387e-07
20,1.73760364023e-07,210.0,1.55783139554e-08,3.84755539244e-08,1.19706496143e-07
21,1.45326735864e-07,220.0,1.27205387698e-08,3.52771241037e-08,9.73290729904e-08
22,1.23626893392e-07,230.0,1.00505563099e-08,3.11386482124e-08,8.24376888701e-08
23,1.18124329237e-07,240.0,8.9908366048e-09,3.09752731595e-08,7.81582194723e-08
24,1.11349932811e-07,250.0,8.05926158833e-09,3.07440730079e-08,7.25465982144e-08
25,1.06648579266e-07,260.0,7.02258002375e-09,2.95463029946e-08,7.00796962473e-08
26,1.0879923415e-07,270.0,6.64357775858e-09,3.0716051163e-08,7.14396052284e-08
27,1.24275841929e-07,280.0,7.09689192291e-09,3.59350914336e-08,8.12438585727e-08
28,1.45690196155e-07,290.0,7.78961642448e-09,4.30611860365e-08,9.48393936938e-08
29,1.65110361552e-07,300.0,7.97520763398e-09,4.79904728577e-08,1.09144681061e-07
30,1.88078360736e-07,310.0,8.66327782202e-09,5.6590672464e-08,1.2282441045e-07
31,2.11371343863e-07,320.0,9.05911207635e-09,6.40736118134e-08,1.38238619973e-07
32,2.21939228843e-07,330.0,8.86172640111e-09,6.77005690186e-08,1.45376933423e-07
33,2.30218302163e-07,340.0,8.64751217958e-09,7.11962398288e-08,1.50374550155e-07
34,2.3487274536e-07,350.0,8.30620127167e-09,7.35408086673e-08,1.53025735421e-07
35,2.27787229724e-07,360.0,7.47601400418e-09,7.10356351693e-08,1.4927558055e-07
36,2.17919039972e-07,370.0,6.55777079743e-09,6.67437289229e-08,1.44617540252e-07
37,2.1101848019e-07,380.0,5.93224205524e-09,6.45554586764e-08,1.40530779458e-07
38,2.15358809286e-07,390.0,5.36042138364e-09,6.22623154147e-08,1.47736072488e-07
